data,method1,method2,clustering,criteria,rank,value,methods
TCGA,DAE,Isomap,K-Means,Fowlkes Mallows,2,0.44792022571218104,DAE:Isomap
TCGA,DAE,Isomap,K-Means,Fowlkes Mallows,5,0.4408042777524418,DAE:Isomap
TCGA,DAE,Isomap,K-Means,Fowlkes Mallows,10,0.4502127318839387,DAE:Isomap
TCGA,DAE,Isomap,K-Means,V Measure,2,0.3709229923085845,DAE:Isomap
TCGA,DAE,Isomap,K-Means,V Measure,5,0.3607246983772468,DAE:Isomap
TCGA,DAE,Isomap,K-Means,V Measure,10,0.3754351970693605,DAE:Isomap
TCGA,DAE,Isomap,HC,ARI,2,0.2618027426952519,DAE:Isomap
TCGA,DAE,Isomap,HC,ARI,5,0.25263838537174765,DAE:Isomap
TCGA,DAE,Isomap,HC,ARI,10,0.2724608174419183,DAE:Isomap
TCGA,DAE,Isomap,HC,MI,2,0.3592214241807335,DAE:Isomap
TCGA,DAE,Isomap,HC,MI,5,0.3488827379431353,DAE:Isomap
TCGA,DAE,Isomap,HC,MI,10,0.3640232320328313,DAE:Isomap
TCGA,DAE,Isomap,HC,Fowlkes Mallows,2,0.44792022571218104,DAE:Isomap
TCGA,DAE,Isomap,HC,Fowlkes Mallows,5,0.4408042777524418,DAE:Isomap
TCGA,DAE,Isomap,HC,Fowlkes Mallows,10,0.4502127318839387,DAE:Isomap
TCGA,DAE,Isomap,HC,V Measure,2,0.3709229923085845,DAE:Isomap
TCGA,DAE,Isomap,HC,V Measure,5,0.3607246983772468,DAE:Isomap
TCGA,DAE,Isomap,HC,V Measure,10,0.3754351970693605,DAE:Isomap
TCGA,DAE,MDS,K-Means,ARI,2,0.2436209655248472,DAE:MDS
TCGA,DAE,MDS,K-Means,ARI,5,0.2378049737280655,DAE:MDS
TCGA,DAE,MDS,K-Means,ARI,10,0.26119242777959384,DAE:MDS
TCGA,DAE,MDS,K-Means,MI,2,0.3469630710647858,DAE:MDS
TCGA,DAE,MDS,K-Means,MI,5,0.3327541274704697,DAE:MDS
TCGA,DAE,MDS,K-Means,MI,10,0.35439990379334657,DAE:MDS
TCGA,DAE,MDS,K-Means,Fowlkes Mallows,2,0.4224291402462772,DAE:MDS
TCGA,DAE,MDS,K-Means,Fowlkes Mallows,5,0.4207684590330417,DAE:MDS
TCGA,DAE,MDS,K-Means,Fowlkes Mallows,10,0.4371488626974741,DAE:MDS
TCGA,DAE,MDS,K-Means,V Measure,2,0.35849965756975843,DAE:MDS
TCGA,DAE,MDS,K-Means,V Measure,5,0.34462547683433103,DAE:MDS
TCGA,DAE,MDS,K-Means,V Measure,10,0.3658500406839892,DAE:MDS
TCGA,DAE,MDS,HC,ARI,2,0.2436209655248472,DAE:MDS
TCGA,DAE,MDS,HC,ARI,5,0.2378049737280655,DAE:MDS
TCGA,DAE,MDS,HC,ARI,10,0.26119242777959384,DAE:MDS
TCGA,DAE,MDS,HC,MI,2,0.3469630710647858,DAE:MDS
TCGA,DAE,MDS,HC,MI,5,0.3327541274704697,DAE:MDS
TCGA,DAE,MDS,HC,MI,10,0.35439990379334657,DAE:MDS
TCGA,DAE,MDS,HC,Fowlkes Mallows,2,0.4224291402462772,DAE:MDS
TCGA,DAE,MDS,HC,Fowlkes Mallows,5,0.4207684590330417,DAE:MDS
TCGA,DAE,MDS,HC,Fowlkes Mallows,10,0.4371488626974741,DAE:MDS
TCGA,DAE,MDS,HC,V Measure,2,0.35849965756975843,DAE:MDS
TCGA,DAE,MDS,HC,V Measure,5,0.34462547683433103,DAE:MDS
TCGA,DAE,MDS,HC,V Measure,10,0.3658500406839892,DAE:MDS
TCGA,DAE,NMDS,K-Means,ARI,2,5.9236121503057324e-05,DAE:NMDS
TCGA,DAE,NMDS,K-Means,ARI,5,0.0,DAE:NMDS
TCGA,DAE,NMDS,K-Means,ARI,10,0.0,DAE:NMDS
TCGA,DAE,NMDS,K-Means,MI,2,0.0008418401818012155,DAE:NMDS
TCGA,DAE,NMDS,K-Means,MI,5,0.0004001869124335511,DAE:NMDS
TCGA,DAE,NMDS,K-Means,MI,10,0.0,DAE:NMDS
TCGA,DAE,NMDS,K-Means,Fowlkes Mallows,2,0.2331091482714964,DAE:NMDS
TCGA,DAE,NMDS,K-Means,Fowlkes Mallows,5,0.2356027802917644,DAE:NMDS
TCGA,DAE,NMDS,K-Means,Fowlkes Mallows,10,0.23221697658354534,DAE:NMDS
TCGA,DAE,NMDS,K-Means,V Measure,2,0.01843251997141866,DAE:NMDS
TCGA,DAE,NMDS,K-Means,V Measure,5,0.0180941433876256,DAE:NMDS
TCGA,DAE,NMDS,K-Means,V Measure,10,0.01697360406651328,DAE:NMDS
TCGA,DAE,NMDS,HC,ARI,2,5.9236121503057324e-05,DAE:NMDS
TCGA,DAE,NMDS,HC,ARI,5,0.0,DAE:NMDS
TCGA,DAE,NMDS,HC,ARI,10,0.0,DAE:NMDS
TCGA,DAE,NMDS,HC,MI,2,0.0008418401818012155,DAE:NMDS
TCGA,DAE,NMDS,HC,MI,5,0.0004001869124335511,DAE:NMDS
TCGA,DAE,NMDS,HC,MI,10,0.0,DAE:NMDS
TCGA,DAE,NMDS,HC,Fowlkes Mallows,2,0.2331091482714964,DAE:NMDS
TCGA,DAE,NMDS,HC,Fowlkes Mallows,5,0.2356027802917644,DAE:NMDS
TCGA,DAE,NMDS,HC,Fowlkes Mallows,10,0.23221697658354534,DAE:NMDS
TCGA,DAE,NMDS,HC,V Measure,2,0.01843251997141866,DAE:NMDS
TCGA,DAE,NMDS,HC,V Measure,5,0.0180941433876256,DAE:NMDS
TCGA,DAE,NMDS,HC,V Measure,10,0.01697360406651328,DAE:NMDS
TCGA,DAE,PCA,K-Means,ARI,2,0.3152215835217108,DAE:PCA
TCGA,DAE,PCA,K-Means,ARI,5,0.3382965290649331,DAE:PCA
TCGA,DAE,PCA,K-Means,ARI,10,0.3237100254239033,DAE:PCA
TCGA,DAE,PCA,K-Means,MI,2,0.4255733362444693,DAE:PCA
TCGA,DAE,PCA,K-Means,MI,5,0.4312028109900025,DAE:PCA
TCGA,DAE,PCA,K-Means,MI,10,0.4211935250342554,DAE:PCA
TCGA,DAE,PCA,K-Means,Fowlkes Mallows,2,0.4834312922022466,DAE:PCA
TCGA,DAE,PCA,K-Means,Fowlkes Mallows,5,0.5089977651010297,DAE:PCA
TCGA,DAE,PCA,K-Means,Fowlkes Mallows,10,0.4918835733666993,DAE:PCA
TCGA,DAE,PCA,K-Means,V Measure,2,0.4359471224341735,DAE:PCA
TCGA,DAE,PCA,K-Means,V Measure,5,0.4417349825762078,DAE:PCA
TCGA,DAE,PCA,K-Means,V Measure,10,0.4316940571554045,DAE:PCA
TCGA,DAE,PCA,HC,ARI,2,0.3152215835217108,DAE:PCA
TCGA,DAE,PCA,HC,ARI,5,0.3382965290649331,DAE:PCA
TCGA,DAE,PCA,HC,ARI,10,0.3237100254239033,DAE:PCA
TCGA,DAE,PCA,HC,MI,2,0.4255733362444693,DAE:PCA
TCGA,DAE,PCA,HC,MI,5,0.4312028109900025,DAE:PCA
TCGA,DAE,PCA,HC,MI,10,0.4211935250342554,DAE:PCA
TCGA,DAE,PCA,HC,Fowlkes Mallows,2,0.4834312922022466,DAE:PCA
TCGA,DAE,PCA,HC,Fowlkes Mallows,5,0.5089977651010297,DAE:PCA
TCGA,DAE,PCA,HC,Fowlkes Mallows,10,0.4918835733666993,DAE:PCA
TCGA,DAE,PCA,HC,V Measure,2,0.4359471224341735,DAE:PCA
TCGA,DAE,PCA,HC,V Measure,5,0.4417349825762078,DAE:PCA
TCGA,DAE,PCA,HC,V Measure,10,0.4316940571554045,DAE:PCA
TCGA,DAE,Random Projection,K-Means,ARI,2,0.04700811681611675,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,ARI,5,0.07588580983621934,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,ARI,10,0.12334148927642599,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,MI,2,0.06748386478527088,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,MI,5,0.10236731371045683,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,MI,10,0.17064619321278593,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,Fowlkes Mallows,2,0.2770802020033736,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,Fowlkes Mallows,5,0.30211185101335314,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,Fowlkes Mallows,10,0.3372142372177384,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,V Measure,2,0.08419435895646077,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,V Measure,5,0.11854949532725825,DAE:Random Projection
TCGA,DAE,Random Projection,K-Means,V Measure,10,0.1855648725615891,DAE:Random Projection
TCGA,DAE,Random Projection,HC,ARI,2,0.04700811681611675,DAE:Random Projection
TCGA,DAE,Random Projection,HC,ARI,5,0.07588580983621934,DAE:Random Projection
TCGA,DAE,Random Projection,HC,ARI,10,0.12334148927642599,DAE:Random Projection
TCGA,DAE,Random Projection,HC,MI,2,0.06748386478527088,DAE:Random Projection
TCGA,DAE,Random Projection,HC,MI,5,0.10236731371045683,DAE:Random Projection
TCGA,DAE,Random Projection,HC,MI,10,0.17064619321278593,DAE:Random Projection
TCGA,DAE,Random Projection,HC,Fowlkes Mallows,2,0.2770802020033736,DAE:Random Projection
TCGA,DAE,Random Projection,HC,Fowlkes Mallows,5,0.30211185101335314,DAE:Random Projection
TCGA,DAE,Random Projection,HC,Fowlkes Mallows,10,0.3372142372177384,DAE:Random Projection
TCGA,DAE,Random Projection,HC,V Measure,2,0.08419435895646077,DAE:Random Projection
TCGA,DAE,Random Projection,HC,V Measure,5,0.11854949532725825,DAE:Random Projection
TCGA,DAE,Random Projection,HC,V Measure,10,0.1855648725615891,DAE:Random Projection
TCGA,DAE,Spectral (NN),K-Means,ARI,2,0.2985849073807146,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,ARI,5,0.2914771629820709,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,ARI,10,0.2379127237212328,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,MI,2,0.4029214216743066,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,MI,5,0.3892574082081788,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,MI,10,0.3533692889490448,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,Fowlkes Mallows,2,0.4725642698180153,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,Fowlkes Mallows,5,0.4719730023549707,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,Fowlkes Mallows,10,0.470927471231881,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,V Measure,2,0.41374516496893743,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,V Measure,5,0.4004609410078624,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),K-Means,V Measure,10,0.3663717017352781,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,ARI,2,0.2985849073807146,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,ARI,5,0.2914771629820709,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,ARI,10,0.2379127237212328,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,MI,2,0.4029214216743066,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,MI,5,0.3892574082081788,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,MI,10,0.3533692889490448,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,Fowlkes Mallows,2,0.4725642698180153,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,Fowlkes Mallows,5,0.4719730023549707,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,Fowlkes Mallows,10,0.470927471231881,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,V Measure,2,0.41374516496893743,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,V Measure,5,0.4004609410078624,DAE:Spectral (NN)
TCGA,DAE,Spectral (NN),HC,V Measure,10,0.3663717017352781,DAE:Spectral (NN)
TCGA,DAE,Spectral (RBF),K-Means,ARI,2,0.3072179068867103,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,ARI,5,0.2694889068265656,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,ARI,10,0.2157608820821208,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,MI,2,0.41241704099133536,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,MI,5,0.3692781684976781,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,MI,10,0.3196867927869833,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,Fowlkes Mallows,2,0.4824424627401576,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,Fowlkes Mallows,5,0.4584090597585941,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,Fowlkes Mallows,10,0.4727396744585268,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,V Measure,2,0.423208500689686,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,V Measure,5,0.3810088302879663,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),K-Means,V Measure,10,0.3339991506057589,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,ARI,2,0.3072179068867103,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,ARI,5,0.2694889068265656,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,ARI,10,0.2157608820821208,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,MI,2,0.41241704099133536,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,MI,5,0.3692781684976781,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,MI,10,0.3196867927869833,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,Fowlkes Mallows,2,0.4824424627401576,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,Fowlkes Mallows,5,0.4584090597585941,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,Fowlkes Mallows,10,0.4727396744585268,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,V Measure,2,0.423208500689686,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,V Measure,5,0.3810088302879663,DAE:Spectral (RBF)
TCGA,DAE,Spectral (RBF),HC,V Measure,10,0.3339991506057589,DAE:Spectral (RBF)
TCGA,DAE,t-SNE,K-Means,ARI,2,0.2421963131325387,DAE:t-SNE
TCGA,DAE,t-SNE,K-Means,MI,2,0.3511190140184228,DAE:t-SNE
TCGA,DAE,t-SNE,K-Means,Fowlkes Mallows,2,0.4207480439099228,DAE:t-SNE
TCGA,DAE,t-SNE,K-Means,V Measure,2,0.3625559873361638,DAE:t-SNE
TCGA,DAE,t-SNE,HC,ARI,2,0.2421963131325387,DAE:t-SNE
TCGA,DAE,t-SNE,HC,MI,2,0.3511190140184228,DAE:t-SNE
TCGA,DAE,t-SNE,HC,Fowlkes Mallows,2,0.4207480439099228,DAE:t-SNE
TCGA,DAE,t-SNE,HC,V Measure,2,0.3625559873361638,DAE:t-SNE
TCGA,DAE,UMAP,K-Means,ARI,2,0.2639026132116976,DAE:UMAP
TCGA,DAE,UMAP,K-Means,ARI,5,0.29618702917411005,DAE:UMAP
TCGA,DAE,UMAP,K-Means,ARI,10,0.3170845030367395,DAE:UMAP
TCGA,DAE,UMAP,K-Means,MI,2,0.35959830313367985,DAE:UMAP
TCGA,DAE,UMAP,K-Means,MI,5,0.3786425155978861,DAE:UMAP
TCGA,DAE,UMAP,K-Means,MI,10,0.404303272274879,DAE:UMAP
TCGA,DAE,UMAP,K-Means,Fowlkes Mallows,2,0.4456587950002443,DAE:UMAP
TCGA,DAE,UMAP,K-Means,Fowlkes Mallows,5,0.4871561600690639,DAE:UMAP
TCGA,DAE,UMAP,K-Means,Fowlkes Mallows,10,0.5044092591849954,DAE:UMAP
TCGA,DAE,UMAP,K-Means,V Measure,2,0.3711879556376854,DAE:UMAP
TCGA,DAE,UMAP,K-Means,V Measure,5,0.39005448086216377,DAE:UMAP
TCGA,DAE,UMAP,K-Means,V Measure,10,0.4150849416598373,DAE:UMAP
TCGA,DAE,UMAP,HC,ARI,2,0.2639026132116976,DAE:UMAP
TCGA,DAE,UMAP,HC,ARI,5,0.29618702917411005,DAE:UMAP
TCGA,DAE,UMAP,HC,ARI,10,0.3170845030367395,DAE:UMAP
TCGA,DAE,UMAP,HC,MI,2,0.35959830313367985,DAE:UMAP
TCGA,DAE,UMAP,HC,MI,5,0.3786425155978861,DAE:UMAP
TCGA,DAE,UMAP,HC,MI,10,0.404303272274879,DAE:UMAP
TCGA,DAE,UMAP,HC,Fowlkes Mallows,2,0.4456587950002443,DAE:UMAP
TCGA,DAE,UMAP,HC,Fowlkes Mallows,5,0.4871561600690639,DAE:UMAP
TCGA,DAE,UMAP,HC,Fowlkes Mallows,10,0.5044092591849954,DAE:UMAP
TCGA,DAE,UMAP,HC,V Measure,2,0.3711879556376854,DAE:UMAP
TCGA,DAE,UMAP,HC,V Measure,5,0.39005448086216377,DAE:UMAP
TCGA,DAE,UMAP,HC,V Measure,10,0.4150849416598373,DAE:UMAP
TCGA,Isomap,Isomap,K-Means,ARI,2,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,ARI,5,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,ARI,10,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,MI,2,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,MI,5,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,MI,10,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,Fowlkes Mallows,2,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,Fowlkes Mallows,5,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,Fowlkes Mallows,10,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,V Measure,2,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,V Measure,5,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,K-Means,V Measure,10,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,ARI,2,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,ARI,5,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,ARI,10,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,MI,2,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,MI,5,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,MI,10,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,Fowlkes Mallows,2,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,Fowlkes Mallows,5,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,Fowlkes Mallows,10,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,V Measure,2,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,V Measure,5,1.0,Isomap:Isomap
TCGA,Isomap,Isomap,HC,V Measure,10,1.0,Isomap:Isomap
TCGA,Isomap,Random Projection,K-Means,ARI,2,0.048299180177572634,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,ARI,5,0.07334560037491772,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,ARI,10,0.12683693370826146,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,MI,2,0.06821910245827137,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,MI,5,0.09593073019877432,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,MI,10,0.16453818511596371,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,Fowlkes Mallows,2,0.27519685646761394,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,Fowlkes Mallows,5,0.29285854457847504,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,Fowlkes Mallows,10,0.3362116672530073,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,V Measure,2,0.08475302238942828,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,V Measure,5,0.11187805701981247,Isomap:Random Projection
TCGA,Isomap,Random Projection,K-Means,V Measure,10,0.17937156539360327,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,ARI,2,0.048299180177572634,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,ARI,5,0.07334560037491772,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,ARI,10,0.12683693370826146,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,MI,2,0.06821910245827137,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,MI,5,0.09593073019877432,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,MI,10,0.16453818511596371,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,Fowlkes Mallows,2,0.27519685646761394,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,Fowlkes Mallows,5,0.29285854457847504,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,Fowlkes Mallows,10,0.3362116672530073,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,V Measure,2,0.08475302238942828,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,V Measure,5,0.11187805701981247,Isomap:Random Projection
TCGA,Isomap,Random Projection,HC,V Measure,10,0.17937156539360327,Isomap:Random Projection
TCGA,Isomap,Spectral (NN),K-Means,ARI,2,0.3526798742998855,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,ARI,5,0.3060780297586142,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,ARI,10,0.23471375942259715,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,MI,2,0.4559423001261886,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,MI,5,0.4232649913991201,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,MI,10,0.3673486991908948,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,Fowlkes Mallows,2,0.5108569471075391,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,Fowlkes Mallows,5,0.4777117811282342,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,Fowlkes Mallows,10,0.4655507929646251,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,V Measure,2,0.4657177468850665,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,V Measure,5,0.4336162903850327,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),K-Means,V Measure,10,0.37990783596444605,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,ARI,2,0.3526798742998855,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,ARI,5,0.3060780297586142,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,ARI,10,0.23471375942259715,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,MI,2,0.4559423001261886,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,MI,5,0.4232649913991201,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,MI,10,0.3673486991908948,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,Fowlkes Mallows,2,0.5108569471075391,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,Fowlkes Mallows,5,0.4777117811282342,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,Fowlkes Mallows,10,0.4655507929646251,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,V Measure,2,0.4657177468850665,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,V Measure,5,0.4336162903850327,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (NN),HC,V Measure,10,0.37990783596444605,Isomap:Spectral (NN)
TCGA,Isomap,Spectral (RBF),K-Means,ARI,2,0.2927807564791921,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,ARI,5,0.3051108903147373,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,ARI,10,0.21373697254123908,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,MI,2,0.3703392328867715,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,MI,5,0.41391428872011693,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,MI,10,0.3357667940873497,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,Fowlkes Mallows,2,0.4691945257580915,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,Fowlkes Mallows,5,0.4791475663597038,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,Fowlkes Mallows,10,0.4685264863339036,Isomap:Spectral (RBF)
TCGA,Isomap,Spectral (RBF),K-Means,V Measure,2,0.381791186817204,Isomap:Spectral (RBF)
