data,method,clustering,sigma,noise,criteria,rank,Accuracy,Consistency
Author,DAE,K-Means,0.5,Laplace,V Measure,2.0,0.4051660756297056,0.2869998897119733
Author,DAE,K-Means,0.5,Laplace,V Measure,5.0,0.4198919619080993,0.3113679886190289
Author,DAE,K-Means,0.5,Laplace,V Measure,10.0,0.4012641949893453,0.2884775885601508
Author,DAE,K-Means,0.5,Normal,ARI,2.0,0.4040034283505941,0.25254610222561563
Author,DAE,K-Means,0.5,Normal,ARI,5.0,0.39359474219921947,0.2657830402114437
Author,DAE,K-Means,0.5,Normal,ARI,10.0,0.3901280455803397,0.3107497919610185
Author,DAE,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.5997456117245021,0.5058027191167765
Author,DAE,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.582600486564998,0.4945499397950683
Author,DAE,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.5848353325913622,0.5362723064534578
Author,DAE,K-Means,0.5,Normal,MI,2.0,0.44113110670140654,0.30390236315531
Author,DAE,K-Means,0.5,Normal,MI,5.0,0.4349441916310465,0.3222288432903509
Author,DAE,K-Means,0.5,Normal,MI,10.0,0.44210909333190296,0.35755710509251115
Author,DAE,K-Means,0.5,Normal,V Measure,2.0,0.4436223880037288,0.3070469809330797
Author,DAE,K-Means,0.5,Normal,V Measure,5.0,0.4373933966491873,0.3251565352991093
Author,DAE,K-Means,0.5,Normal,V Measure,10.0,0.4445485004231988,0.360394296760242
Author,Isomap,HC,0.5,Laplace,ARI,2.0,0.7763291390468225,0.7246033531113041
Author,Isomap,HC,0.5,Laplace,ARI,5.0,0.8427545406002851,0.8009678896054124
Author,Isomap,HC,0.5,Laplace,ARI,10.0,0.8339160611663549,0.7947652735247671
Author,Isomap,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.8463999065487112,0.8110711240460488
Author,Isomap,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.8919848483225651,0.8634913379559996
Author,Isomap,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.8859931013192359,0.8594295911168269
Author,Isomap,HC,0.5,Laplace,MI,2.0,0.7648331743954654,0.6962869843700257
Author,Isomap,HC,0.5,Laplace,MI,5.0,0.8248602541846708,0.7660644778850602
Author,Isomap,HC,0.5,Laplace,MI,10.0,0.8179488721299584,0.7597618387584806
Author,Isomap,HC,0.5,Laplace,V Measure,2.0,0.7658649839877373,0.6976189568636678
Author,Isomap,HC,0.5,Laplace,V Measure,5.0,0.8256300148188145,0.7670939124167674
Author,Isomap,HC,0.5,Laplace,V Measure,10.0,0.8187500845557103,0.7608216310689419
Author,Isomap,HC,0.5,Normal,ARI,2.0,0.8229315816435973,0.7928945135311374
Author,Isomap,HC,0.5,Normal,ARI,5.0,0.8856176884951594,0.8728914785482266
Author,Isomap,HC,0.5,Normal,ARI,10.0,0.8827903545412898,0.874332354419184
Author,Isomap,HC,0.5,Normal,Fowlkes Mallows,2.0,0.8781776440457082,0.8574380214915752
Author,Isomap,HC,0.5,Normal,Fowlkes Mallows,5.0,0.9213770237920172,0.9127140335277328
Author,Isomap,HC,0.5,Normal,Fowlkes Mallows,10.0,0.9194836101192138,0.9138030505923102
Author,Isomap,HC,0.5,Normal,MI,2.0,0.8170151961092366,0.7708110045575424
Author,Isomap,HC,0.5,Normal,MI,5.0,0.8709077452942481,0.8423490839870159
Author,Isomap,HC,0.5,Normal,MI,10.0,0.8726473235845559,0.8466312209246829
Author,Isomap,HC,0.5,Normal,V Measure,2.0,0.817816514655395,0.7718121715426656
Author,Isomap,HC,0.5,Normal,V Measure,5.0,0.8714751495853404,0.8430427549170914
Author,Isomap,HC,0.5,Normal,V Measure,10.0,0.8732073265921916,0.8473066226519519
Author,Isomap,K-Means,0.5,Laplace,ARI,2.0,0.7501895589483134,0.6471864600416094
Author,Isomap,K-Means,0.5,Laplace,ARI,5.0,0.8446758992607175,0.7539871861328961
Author,Isomap,K-Means,0.5,Laplace,ARI,10.0,0.8187594461958817,0.7149839495298057
Author,Isomap,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.8286445355958779,0.7584130011570481
Author,Isomap,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.8932361685049962,0.8310621916852018
Author,Isomap,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.8758838927376474,0.8053610796685065
Author,Isomap,K-Means,0.5,Laplace,MI,2.0,0.7443579580739089,0.6430893899402029
Author,Isomap,K-Means,0.5,Laplace,MI,5.0,0.8161352266831807,0.7245996826725424
Author,Isomap,K-Means,0.5,Laplace,MI,10.0,0.7955462509476499,0.6944895399082349
Author,Isomap,K-Means,0.5,Laplace,V Measure,2.0,0.7454812353662796,0.6446598428528175
Author,Isomap,K-Means,0.5,Laplace,V Measure,5.0,0.8169435122381301,0.7258120242385029
Author,Isomap,K-Means,0.5,Laplace,V Measure,10.0,0.7964474614860712,0.6958407102433783
Author,Isomap,K-Means,0.5,Normal,ARI,2.0,0.8205987921783883,0.7444469770006824
Author,Isomap,K-Means,0.5,Normal,ARI,5.0,0.8856176884951594,0.84154093941203
Author,Isomap,K-Means,0.5,Normal,ARI,10.0,0.8827903545412898,0.8490008036785435
Author,Isomap,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.8774179416848581,0.8258236471266565
Author,Isomap,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.9213770237920172,0.8913021152950105
Author,Isomap,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.9194836101192138,0.8962452472929596
Author,Isomap,K-Means,0.5,Normal,MI,2.0,0.8194209012165804,0.7464627107337773
Author,Isomap,K-Means,0.5,Normal,MI,5.0,0.8709077452942481,0.817824617065591
Author,Isomap,K-Means,0.5,Normal,MI,10.0,0.8726473235845559,0.8246413734361284
Author,Isomap,K-Means,0.5,Normal,V Measure,2.0,0.8202153656522262,0.7475797938640472
Author,Isomap,K-Means,0.5,Normal,V Measure,5.0,0.8714751495853404,0.8186274959109112
Author,Isomap,K-Means,0.5,Normal,V Measure,10.0,0.8732073265921916,0.8254126990946363
Author,MDS,HC,0.5,Laplace,ARI,2.0,0.5509227502067437,0.5222275511268429
Author,MDS,HC,0.5,Laplace,ARI,5.0,0.6948183014310755,0.6862978875049102
Author,MDS,HC,0.5,Laplace,ARI,10.0,0.8933349411179731,0.8777123630700435
Author,MDS,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.6801529555911382,0.6435384221338384
Author,MDS,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.7849732150578385,0.7704154333828968
Author,MDS,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.9262256650871876,0.9149029502879226
Author,MDS,HC,0.5,Laplace,MI,2.0,0.56975514619391,0.5199765507533372
Author,MDS,HC,0.5,Laplace,MI,5.0,0.6929444819406931,0.6305895626080237
Author,MDS,HC,0.5,Laplace,MI,10.0,0.8562980636976382,0.8280285621060554
Author,MDS,HC,0.5,Laplace,V Measure,2.0,0.5715304812364942,0.5218515799313184
Author,MDS,HC,0.5,Laplace,V Measure,5.0,0.6942256930501121,0.6320633542829897
Author,MDS,HC,0.5,Laplace,V Measure,10.0,0.8569233955193948,0.8287707533608325
Author,MDS,HC,0.5,Normal,ARI,2.0,0.601899571512132,0.6384943612729718
Author,MDS,HC,0.5,Normal,ARI,5.0,0.7255110204057285,0.7950430159050145
Author,MDS,HC,0.5,Normal,ARI,10.0,0.9222807361343606,0.9252614041029491
Author,MDS,HC,0.5,Normal,Fowlkes Mallows,2.0,0.7173202130317154,0.7312127557957923
Author,MDS,HC,0.5,Normal,Fowlkes Mallows,5.0,0.8071445255831826,0.8510604660732458
Author,MDS,HC,0.5,Normal,Fowlkes Mallows,10.0,0.9463175218671696,0.9481425985609544
Author,MDS,HC,0.5,Normal,MI,2.0,0.616612548186622,0.6185919433550132
Author,MDS,HC,0.5,Normal,MI,5.0,0.7368522782087789,0.7367461604941357
Author,MDS,HC,0.5,Normal,MI,10.0,0.8930191629878104,0.8914670305783001
Author,MDS,HC,0.5,Normal,V Measure,2.0,0.6181976867412423,0.6200871883903775
Author,MDS,HC,0.5,Normal,V Measure,5.0,0.7379546801646809,0.7378046064290601
Author,MDS,HC,0.5,Normal,V Measure,10.0,0.8934859744161234,0.8919377175656373
Author,MDS,K-Means,0.5,Laplace,ARI,2.0,0.5531076709266609,0.5329567698011228
Author,MDS,K-Means,0.5,Laplace,ARI,5.0,0.7016340678991883,0.6861575826146755
Author,MDS,K-Means,0.5,Laplace,ARI,10.0,0.8934671694736557,0.8777070545612448
Author,MDS,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.6817664260163764,0.6516456943548884
Author,MDS,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.7898601216386005,0.7703430229830039
Author,MDS,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.9263102589177392,0.9148769654507848
Author,MDS,K-Means,0.5,Laplace,MI,2.0,0.5709912035898991,0.5252705250989955
Author,MDS,K-Means,0.5,Laplace,MI,5.0,0.6993936098904289,0.6314515182035906
Author,MDS,K-Means,0.5,Laplace,MI,10.0,0.8562237052288421,0.8272491021936211
Author,MDS,K-Means,0.5,Laplace,V Measure,2.0,0.5727617396755932,0.5271254443191468
Author,MDS,K-Means,0.5,Laplace,V Measure,5.0,0.7006480612253531,0.6329220980400501
Author,MDS,K-Means,0.5,Laplace,V Measure,10.0,0.8568492014788097,0.8279942550744374
Author,MDS,K-Means,0.5,Normal,ARI,2.0,0.6076589643875913,0.4956629394651989
Author,MDS,K-Means,0.5,Normal,ARI,5.0,0.8706672993652362,0.7946101025872586
Author,MDS,K-Means,0.5,Normal,ARI,10.0,0.902117594151943,0.8407415351430731
Author,MDS,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.723029443882791,0.6327188481739618
Author,MDS,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.9103087463249788,0.8570134057858326
Author,MDS,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.9326225789281748,0.8903511678778075
Author,MDS,K-Means,0.5,Normal,MI,2.0,0.6232816424916742,0.521049640910173
Author,MDS,K-Means,0.5,Normal,MI,5.0,0.8486408450602005,0.7671463706836612
Author,MDS,K-Means,0.5,Normal,MI,10.0,0.8667546245063789,0.7972957581040404
Author,MDS,K-Means,0.5,Normal,V Measure,2.0,0.6248578881219538,0.5229713619337649
Author,MDS,K-Means,0.5,Normal,V Measure,5.0,0.8492961250589804,0.7681463532207019
Author,MDS,K-Means,0.5,Normal,V Measure,10.0,0.8673394475497882,0.7981852228121896
Author,NMDS,HC,0.5,Laplace,ARI,2.0,0.00034186836215210664,2.8138723323576803e-06
Author,NMDS,HC,0.5,Laplace,ARI,5.0,0.00031838664709962403,1.0860178001648815e-05
Author,NMDS,HC,0.5,Laplace,ARI,10.0,-0.00021515963738933291,-4.5796459607191776e-05
Author,NMDS,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.2792320025748191,0.2496797978362628
Author,NMDS,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.2792709255675122,0.2497856435157417
Author,NMDS,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.2789194115595224,0.2498083773584464
Author,NMDS,HC,0.5,Laplace,MI,2.0,-0.00014369105526628202,-7.955796595921436e-07
Author,NMDS,HC,0.5,Laplace,MI,5.0,0.0001004320409909226,7.855330805112341e-06
Author,NMDS,HC,0.5,Laplace,MI,10.0,-0.0003391182761079031,-5.450114314595162e-05
Author,NMDS,HC,0.5,Laplace,V Measure,2.0,0.003969801823403916,0.0038816294728116854
Author,NMDS,HC,0.5,Laplace,V Measure,5.0,0.004213254658770604,0.0038908284881692353
Author,NMDS,HC,0.5,Laplace,V Measure,10.0,0.003775719049402757,0.003829077277860703
Author,NMDS,HC,0.5,Normal,ARI,2.0,0.00023911680591748964,5.967455610604253e-06
Author,NMDS,HC,0.5,Normal,ARI,5.0,0.0002990852191443905,-3.597156633444504e-05
Author,NMDS,HC,0.5,Normal,ARI,10.0,0.0001916390249042627,2.4042851902994747e-06
Author,NMDS,HC,0.5,Normal,Fowlkes Mallows,2.0,0.2791829309722535,0.2497279153742138
Author,NMDS,HC,0.5,Normal,Fowlkes Mallows,5.0,0.27936778594907125,0.2499493546196501
Author,NMDS,HC,0.5,Normal,Fowlkes Mallows,10.0,0.27933577734413634,0.2500610650883582
Author,NMDS,HC,0.5,Normal,MI,2.0,8.338584328005802e-05,1.992486951496052e-06
Author,NMDS,HC,0.5,Normal,MI,5.0,9.766924155958008e-05,-3.606015787832287e-05
Author,NMDS,HC,0.5,Normal,MI,10.0,1.4614342164121808e-05,4.196639482809412e-06
Author,NMDS,HC,0.5,Normal,V Measure,2.0,0.004196099816322859,0.0038846772836874576
Author,NMDS,HC,0.5,Normal,V Measure,5.0,0.00421114603282885,0.0038482109578001533
Author,NMDS,HC,0.5,Normal,V Measure,10.0,0.004128712790164503,0.003888802187766783
Author,NMDS,K-Means,0.5,Laplace,ARI,2.0,0.0027070918386343274,5.641999971038569e-05
Author,NMDS,K-Means,0.5,Laplace,ARI,5.0,0.0006204335099074541,-6.448505846132913e-06
Author,NMDS,K-Means,0.5,Laplace,ARI,10.0,0.0004982263342282389,-5.5277007178800014e-05
Author,NMDS,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.2905042403800633,0.26718777413757605
Author,NMDS,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.2900027964640129,0.2689659694282045
Author,NMDS,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.2914551455860535,0.27179956522518345
Author,NMDS,K-Means,0.5,Laplace,MI,2.0,0.0008325671600891074,-4.905868273174282e-05
Author,NMDS,K-Means,0.5,Laplace,MI,5.0,0.0003791995757558903,1.803598916365176e-05
Author,NMDS,K-Means,0.5,Laplace,MI,10.0,4.869506317346282e-05,-6.0838125301384376e-05
Author,NMDS,K-Means,0.5,Laplace,V Measure,2.0,0.005001590588207046,0.003938834856450402
Author,NMDS,K-Means,0.5,Laplace,V Measure,5.0,0.0045568743949453505,0.0040177216373421505
Author,NMDS,K-Means,0.5,Laplace,V Measure,10.0,0.004240273294510815,0.003961397980642593
Author,NMDS,K-Means,0.5,Normal,ARI,2.0,0.0038862574726763657,0.00017895962116798678
Author,NMDS,K-Means,0.5,Normal,ARI,5.0,4.4387772162084685e-06,-3.8959990900736455e-05
Author,NMDS,K-Means,0.5,Normal,ARI,10.0,-0.0002396682355506527,8.666305345033154e-06
Author,NMDS,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.2931010514761006,0.2705598629970821
Author,NMDS,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.2883502563326095,0.266688251036038
Author,NMDS,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.29070456117717514,0.27140416626806624
Author,NMDS,K-Means,0.5,Normal,MI,2.0,0.0011359832388013304,1.5936050129384264e-05
Author,NMDS,K-Means,0.5,Normal,MI,5.0,0.00027218025518779734,-7.099400297671194e-05
Author,NMDS,K-Means,0.5,Normal,MI,10.0,-2.8850959138996423e-05,-5.7816793670361864e-05
Author,NMDS,K-Means,0.5,Normal,V Measure,2.0,0.005313873044411721,0.0040219280504880505
Author,NMDS,K-Means,0.5,Normal,V Measure,5.0,0.0044414525300691225,0.003913352685159097
Author,NMDS,K-Means,0.5,Normal,V Measure,10.0,0.00416034275364245,0.00395955159444422
Author,PCA,HC,0.5,Laplace,ARI,2.0,0.6181212474336908,0.6551809580383082
Author,PCA,HC,0.5,Laplace,ARI,5.0,0.8889861995689915,0.8806005383028968
Author,PCA,HC,0.5,Laplace,ARI,10.0,0.8906413701811472,0.8859735351770146
Author,PCA,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.7291811507063524,0.7449855547579252
Author,PCA,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.9233886079938928,0.9173553925096608
Author,PCA,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.9245496194286268,0.921112192620312
Author,PCA,HC,0.5,Laplace,MI,2.0,0.6499774939757553,0.6603924073928122
Author,PCA,HC,0.5,Laplace,MI,5.0,0.8588177633915447,0.8426308014588688
Author,PCA,HC,0.5,Laplace,MI,10.0,0.8616836953985889,0.8465587441529919
Author,PCA,HC,0.5,Laplace,V Measure,2.0,0.6514281372084224,0.6617310669230958
Author,PCA,HC,0.5,Laplace,V Measure,5.0,0.8594351394641887,0.8433163756374564
Author,PCA,HC,0.5,Laplace,V Measure,10.0,0.8622889033972748,0.8472279329938641
Author,PCA,HC,0.5,Normal,ARI,2.0,0.6285527463359534,0.7418626608660028
Author,PCA,HC,0.5,Normal,ARI,5.0,0.9124929393976624,0.9240418040100756
Author,PCA,HC,0.5,Normal,ARI,10.0,0.9176895639763012,0.9301315707309996
Author,PCA,HC,0.5,Normal,Fowlkes Mallows,2.0,0.7367217872934937,0.8091390656191225
Author,PCA,HC,0.5,Normal,Fowlkes Mallows,5.0,0.9396576863503862,0.947507583360442
Author,PCA,HC,0.5,Normal,Fowlkes Mallows,10.0,0.9432449253940136,0.9517247610539796
Author,PCA,HC,0.5,Normal,MI,2.0,0.6655905515765085,0.732326836864103
Author,PCA,HC,0.5,Normal,MI,5.0,0.8857712809168885,0.8928759905241825
Author,PCA,HC,0.5,Normal,MI,10.0,0.8927994236856306,0.9010044041983828
Author,PCA,HC,0.5,Normal,V Measure,2.0,0.6669766300645489,0.7333823264555821
Author,PCA,HC,0.5,Normal,V Measure,5.0,0.8862712875504486,0.8933435464482796
Author,PCA,HC,0.5,Normal,V Measure,10.0,0.8932688417985152,0.9014368027000134
Author,PCA,K-Means,0.5,Laplace,ARI,2.0,0.6806660398967046,0.6117215644146221
Author,PCA,K-Means,0.5,Laplace,ARI,5.0,0.9211060519771418,0.8747873316767165
Author,PCA,K-Means,0.5,Laplace,ARI,10.0,0.9239144533190918,0.8790767617479447
Author,PCA,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.7755767685665829,0.7198142839170258
Author,PCA,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.9457301506458546,0.9139133119297356
Author,PCA,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.9476798642014868,0.9169022608439968
Author,PCA,K-Means,0.5,Laplace,MI,2.0,0.6830481963420304,0.6265496050086484
Author,PCA,K-Means,0.5,Laplace,MI,5.0,0.8955445035102332,0.842895237800586
Author,PCA,K-Means,0.5,Laplace,MI,10.0,0.8953056441348481,0.8428484581478726
Author,PCA,K-Means,0.5,Laplace,V Measure,2.0,0.6843839620921599,0.6280687263460365
Author,PCA,K-Means,0.5,Laplace,V Measure,5.0,0.8960034396804187,0.8435861129623082
Author,PCA,K-Means,0.5,Laplace,V Measure,10.0,0.8957657404551048,0.8435396888061947
Author,PCA,K-Means,0.5,Normal,ARI,2.0,0.7141376657716343,0.6677135986946168
Author,PCA,K-Means,0.5,Normal,ARI,5.0,0.9124929393976624,0.9434978572246102
Author,PCA,K-Means,0.5,Normal,ARI,10.0,0.9176895639763012,0.9333613628481036
Author,PCA,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.7989891666945809,0.7604528865417941
Author,PCA,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.9396576863503862,0.9611053322598576
Author,PCA,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.9432449253940136,0.9542007059070884
Author,PCA,K-Means,0.5,Normal,MI,2.0,0.7226499054268467,0.6819044814988441
Author,PCA,K-Means,0.5,Normal,MI,5.0,0.8857712809168885,0.9189636433988864
Author,PCA,K-Means,0.5,Normal,MI,10.0,0.8927994236856306,0.907618983680865
Author,PCA,K-Means,0.5,Normal,V Measure,2.0,0.7238180432608425,0.6831999140773345
Author,PCA,K-Means,0.5,Normal,V Measure,5.0,0.8862712875504486,0.9193192697451008
Author,PCA,K-Means,0.5,Normal,V Measure,10.0,0.8932688417985152,0.9080251765770226
Author,Random Projection,HC,0.5,Laplace,ARI,2.0,0.08291130414335138,0.014704237636667391
Author,Random Projection,HC,0.5,Laplace,ARI,5.0,0.13011296633069233,0.03339189912714171
Author,Random Projection,HC,0.5,Laplace,ARI,10.0,0.24693340454327464,0.09461547609318853
Author,Random Projection,HC,0.5,Laplace,Fowlkes Mallows,2.0,0.3418865599603639,0.2658715814778315
Author,Random Projection,HC,0.5,Laplace,Fowlkes Mallows,5.0,0.3755726418659965,0.2789334810994748
Author,Random Projection,HC,0.5,Laplace,Fowlkes Mallows,10.0,0.4613383074005546,0.3278663415381115
Author,Random Projection,HC,0.5,Laplace,MI,2.0,0.1032069226689188,0.017693972672929683
Author,Random Projection,HC,0.5,Laplace,MI,5.0,0.14953602775332242,0.03698534070781016
Author,Random Projection,HC,0.5,Laplace,MI,10.0,0.25637290197651824,0.09613935295337163
Author,Random Projection,HC,0.5,Laplace,V Measure,2.0,0.10691134383549204,0.02153814446831664
Author,Random Projection,HC,0.5,Laplace,V Measure,5.0,0.15304635852242876,0.04074904198138085
Author,Random Projection,HC,0.5,Laplace,V Measure,10.0,0.25945109434513736,0.09969181207300612
Author,Random Projection,HC,0.5,Normal,ARI,2.0,0.08975898949086755,0.01670085859318974
Author,Random Projection,HC,0.5,Normal,ARI,5.0,0.1801623790827502,0.05314169486452351
Author,Random Projection,HC,0.5,Normal,ARI,10.0,0.2980900273135201,0.13599432586996288
Author,Random Projection,HC,0.5,Normal,Fowlkes Mallows,2.0,0.3476387786842874,0.26904412249410603
Author,Random Projection,HC,0.5,Normal,Fowlkes Mallows,5.0,0.4122368127871443,0.29485281174600536
Author,Random Projection,HC,0.5,Normal,Fowlkes Mallows,10.0,0.4991672747621454,0.3614656646456715
Author,Random Projection,HC,0.5,Normal,MI,2.0,0.10998374100806048,0.020001031636820626
Author,Random Projection,HC,0.5,Normal,MI,5.0,0.1895304638001484,0.05489374012063284
Author,Random Projection,HC,0.5,Normal,MI,10.0,0.311077275530199,0.14102854753175495
Author,Random Projection,HC,0.5,Normal,V Measure,2.0,0.11366535126393923,0.023846454761138683
Author,Random Projection,HC,0.5,Normal,V Measure,5.0,0.19287868894086274,0.058594032872614214
Author,Random Projection,HC,0.5,Normal,V Measure,10.0,0.31393720967978056,0.14442444065327234
Author,Random Projection,K-Means,0.5,Laplace,ARI,2.0,0.07666417628836855,0.012752616543045978
Author,Random Projection,K-Means,0.5,Laplace,ARI,5.0,0.1024281992775144,0.02151150381014197
Author,Random Projection,K-Means,0.5,Laplace,ARI,10.0,0.19047521418693195,0.05625057450799436
Author,Random Projection,K-Means,0.5,Laplace,Fowlkes Mallows,2.0,0.3492808173741321,0.28838711949502954
Author,Random Projection,K-Means,0.5,Laplace,Fowlkes Mallows,5.0,0.3684184315070715,0.2967369664937586
Author,Random Projection,K-Means,0.5,Laplace,Fowlkes Mallows,10.0,0.4309692381638877,0.32335857790385675
Author,Random Projection,K-Means,0.5,Laplace,MI,2.0,0.094315771636793,0.015303268324621672
Author,Random Projection,K-Means,0.5,Laplace,MI,5.0,0.12295362101295047,0.026085618982858282
Author,Random Projection,K-Means,0.5,Laplace,MI,10.0,0.20643808443806091,0.06381678869508065
Author,Random Projection,K-Means,0.5,Laplace,V Measure,2.0,0.098136672759501,0.019311465823983482
Author,Random Projection,K-Means,0.5,Laplace,V Measure,5.0,0.12665820007212986,0.030059747293211574
Author,Random Projection,K-Means,0.5,Laplace,V Measure,10.0,0.2097991638790211,0.06765847901187771
Author,Random Projection,K-Means,0.5,Normal,ARI,2.0,0.08954933249285983,0.015779757281485115
Author,Random Projection,K-Means,0.5,Normal,ARI,5.0,0.1801623790827502,0.030585122958123687
Author,Random Projection,K-Means,0.5,Normal,ARI,10.0,0.2980900273135201,0.08901502336859038
Author,Random Projection,K-Means,0.5,Normal,Fowlkes Mallows,2.0,0.3623252801798839,0.2987299682550905
Author,Random Projection,K-Means,0.5,Normal,Fowlkes Mallows,5.0,0.4122368127871443,0.3062477738549317
Author,Random Projection,K-Means,0.5,Normal,Fowlkes Mallows,10.0,0.4991672747621454,0.3525079106892966
Author,Random Projection,K-Means,0.5,Normal,MI,2.0,0.108065308364376,0.019112914692282598
Author,Random Projection,K-Means,0.5,Normal,MI,5.0,0.1895304638001484,0.03699191236953615
Author,Random Projection,K-Means,0.5,Normal,MI,10.0,0.311077275530199,0.10327161973497874
Author,Random Projection,K-Means,0.5,Normal,V Measure,2.0,0.11185344918046984,0.023156121714924392
Author,Random Projection,K-Means,0.5,Normal,V Measure,5.0,0.19287868894086274,0.040941261021977315
Author,Random Projection,K-Means,0.5,Normal,V Measure,10.0,0.31393720967978056,0.10699406822423814
Author,Spectral (NN),HC,0.5,Laplace,ARI,2.0,0.7377362125354284,0.8394126619016203
