data,method,criteria,Accuracy,Consistency
Author,HC (single),Fowlkes Mallows,0.5557993624581207,0.9928871305734488
Author,HC (single),V Measure,0.012487091991542194,0.005846856592771712
Author,HC (ward),ARI,0.9770706271930338,1.0
Author,HC (ward),MI,0.9651402555473819,1.0
Author,HC (ward),Fowlkes Mallows,0.984223730325786,1.0
Author,HC (ward),V Measure,0.9653615283444611,1.0
Author,K-Means,ARI,0.9356116551526558,0.9193127552576419
Author,K-Means,MI,0.9152670427370783,0.8905710104047415
Author,K-Means,Fowlkes Mallows,0.9556128895129299,0.9441289965129684
Author,K-Means,V Measure,0.9158025192084027,0.8910473048344669
Author,K-Means (minibatch),ARI,0.7959598086507016,-1.3094529766364708e-05
Author,K-Means (minibatch),MI,0.8058266602110516,4.402987026806303e-05
Author,K-Means (minibatch),Fowlkes Mallows,0.8572504426524573,0.29569958013583286
Author,K-Means (minibatch),V Measure,0.807011878382538,0.004320130547745802
Author,K-Means++,ARI,0.937516898140785,0.7938198724332052
Author,K-Means++,MI,0.9170142738826128,0.7507690931034582
Author,K-Means++,Fowlkes Mallows,0.956950973709786,0.8567175271376031
Author,K-Means++,V Measure,0.9175392901295807,0.7518484772244061
Author,Birch,ARI,0.9770706271930338,4.316746608711875e-05
Author,Birch,MI,0.9651402555473819,3.8870199164201914e-05
Author,Birch,Fowlkes Mallows,0.984223730325786,0.28421934277949246
Author,Birch,V Measure,0.9653615283444611,0.004137005038066576
Author,Spectral (NN),ARI,0.9633943550501283,6.488077699928492e-05
Author,Spectral (NN),MI,0.9568174860892796,7.858446110171338e-05
Author,Spectral (NN),Fowlkes Mallows,0.9748367121940043,0.2654140415241629
Author,Spectral (NN),V Measure,0.9570917744722256,0.0040782777346062135
Author,Spectral (RBF),ARI,-0.00037530949682896273,0.5899186946478641
Author,Spectral (RBF),MI,-9.239938329867303e-05,0.5879128943445799
Author,Spectral (RBF),Fowlkes Mallows,0.5560335483360977,0.9150770581230272
Author,Spectral (RBF),V Measure,0.008018336475973295,0.5922391588927379
Bean,Gaussian MM,ARI,0.5113242491182115,0.7398266377674035
Bean,Gaussian MM,MI,0.6308876997930339,0.8000686441377614
Bean,Gaussian MM,Fowlkes Mallows,0.6068782864056014,0.7949438814392953
Bean,Gaussian MM,V Measure,0.6312877646952145,0.8002288462658026
Bean,HC (average),ARI,0.49359835499412563,1.0
Bean,HC (average),MI,0.6601217957242729,1.0
Bean,HC (average),Fowlkes Mallows,0.6324636794490712,1.0
Bean,HC (average),V Measure,0.6605196692391924,1.0
Bean,HC (complete),ARI,0.48179770472004774,0.0001854373661200954
Bean,HC (complete),MI,0.6217757871679533,3.4456649955396596e-06
Bean,HC (complete),Fowlkes Mallows,0.5820825106041667,0.2655621233109795
Bean,HC (complete),V Measure,0.622180592271465,0.0008221841989144132
Bean,HC (single),ARI,0.03264127449056143,0.01549677470056333
Bean,HC (single),MI,0.16103387721981324,0.0154535754716065
Bean,HC (single),Fowlkes Mallows,0.43183009193839483,0.9991263844850681
Bean,HC (single),V Measure,0.16229443172070815,0.015930768383862495
Bean,HC (ward),ARI,0.3788319569414035,1.0
Bean,HC (ward),MI,0.516120160062185,1.0
Bean,HC (ward),Fowlkes Mallows,0.507420816647251,1.0
Bean,HC (ward),V Measure,0.5166539168647373,1.0
Bean,K-Means,ARI,0.3693638188708636,0.23090533390512674
Bean,K-Means,MI,0.5193005398475752,0.26625387074467044
Bean,K-Means,Fowlkes Mallows,0.4853312146451725,0.350339244249598
Bean,K-Means,V Measure,0.5198089198954914,0.2667685743577749
Bean,K-Means (minibatch),ARI,0.38083555711079226,0.00016225361415566803
Bean,K-Means (minibatch),MI,0.516914522972805,0.000251966139665636
Bean,K-Means (minibatch),Fowlkes Mallows,0.5044228465332428,0.1491489764908529
Bean,K-Means (minibatch),V Measure,0.5174425844119507,0.0009403459263584078
Bean,K-Means++,ARI,0.37715476587165,0.3326774455858174
Bean,K-Means++,MI,0.5133911831368992,0.3528957605300277
Bean,K-Means++,Fowlkes Mallows,0.4999820705833324,0.43408530396378564
Bean,K-Means++,V Measure,0.5139210519221963,0.3533457728369439
Bean,Birch,ARI,0.3738352554389623,0.0869131368876293
Bean,Birch,MI,0.5159655131038011,0.15763879805273795
Bean,Birch,Fowlkes Mallows,0.5028289196113875,0.2743479147452414
Bean,Birch,V Measure,0.5164987883609014,0.15829296777612864
Bean,Spectral (NN),ARI,0.3320094654919275,0.0434891688473441
Bean,Spectral (NN),MI,0.5020958617935836,0.09935219059807372
Bean,Spectral (NN),Fowlkes Mallows,0.44491233369160305,0.2219708222516909
Bean,Spectral (NN),V Measure,0.5026070291492735,0.10003365996275913
Bean,Spectral (RBF),ARI,0.0,0.721454512897993
Bean,Spectral (RBF),MI,5.995808063702703e-16,0.7149438423282986
Bean,Spectral (RBF),Fowlkes Mallows,0.4157684197024136,0.9218421165583014
Bean,Spectral (RBF),V Measure,0.0,0.7154610880909115
Call,Gaussian MM,ARI,0.46148229890031794,8.215294867795486e-05
Call,Gaussian MM,MI,0.6317063687269023,5.0538607087117674e-05
Call,Gaussian MM,Fowlkes Mallows,0.5939887292993243,0.1079917661830715
Call,Gaussian MM,V Measure,0.6332966767352246,0.0025454002651435475
Call,HC (average),ARI,0.15688427187217704,0.00022089054311365237
Call,HC (average),MI,0.20253246349755508,2.3677672030772648e-05
Call,HC (average),Fowlkes Mallows,0.5756311870757793,0.8263667642967013
Call,HC (average),V Measure,0.20732408712493133,0.005530722616022223
Call,HC (complete),ARI,0.705381157907496,0.10723915318399797
Call,HC (complete),MI,0.620451730150053,0.09829162147125849
Call,HC (complete),Fowlkes Mallows,0.7970802236024349,0.2965361430459125
Call,HC (complete),V Measure,0.6222957014497532,0.10106259801991278
Call,HC (single),ARI,0.0017431572250251575,0.0032182661852624903
Call,HC (single),MI,0.002022970147248262,0.003219869722897303
Call,HC (single),Fowlkes Mallows,0.5299556299455391,0.9975077004756362
Call,HC (single),V Measure,0.0055697343043925145,0.004592832454873321
Call,HC (ward),ARI,0.4523151170778083,0.01570929886319968
Call,HC (ward),MI,0.6602811744369322,0.02101424772773909
Call,HC (ward),Fowlkes Mallows,0.5890066309887206,0.1368567179368574
Call,HC (ward),V Measure,0.6617440870835217,0.023540181509353227
Call,K-Means,ARI,0.4126728182087329,0.08416545193913434
Call,K-Means,MI,0.6157881901360882,0.09803027192301125
Call,K-Means,Fowlkes Mallows,0.5543370046484235,0.17674397519380525
Call,K-Means,V Measure,0.6174398843925429,0.10024597500376344
Call,K-Means (minibatch),ARI,0.448335670912054,0.00010131375491331435
Call,K-Means (minibatch),MI,0.6169337365129958,0.0001842535623779668
Call,K-Means (minibatch),Fowlkes Mallows,0.5828117232545803,0.10633904582086742
Call,K-Means (minibatch),V Measure,0.6185982866215519,0.002680157988378732
Call,K-Means++,ARI,0.40850997000599226,0.012077696884249908
Call,K-Means++,MI,0.6187183408219843,0.020698561983750877
Call,K-Means++,Fowlkes Mallows,0.5526461644805815,0.11113610804410858
Call,K-Means++,V Measure,0.6203448247887787,0.02310146336290823
Call,Birch,ARI,0.6305213603076278,0.00024177468468896483
Call,Birch,MI,0.575449810381781,0.0004587326984359795
Call,Birch,Fowlkes Mallows,0.776132528117313,0.11172521184195167
Call,Birch,V Measure,0.5775880042001154,0.002973762791017541
Call,Spectral (NN),ARI,0.7102701463370635,0.3814658265558317
Call,Spectral (NN),MI,0.679548471049127,0.4587599795280442
Call,Spectral (NN),Fowlkes Mallows,0.7939951884976716,0.5067886217980467
Call,Spectral (NN),V Measure,0.681173528804768,0.46045855049189943
Call,Spectral (RBF),ARI,0.37919097355150505,0.19583095584398744
Call,Spectral (RBF),MI,0.5554457688647215,0.3027697629350212
Call,Spectral (RBF),Fowlkes Mallows,0.5255192702358826,0.37431960597050895
Call,Spectral (RBF),V Measure,0.5574447806623986,0.30456737251309696
DNase,Gaussian MM,ARI,0.06287202632229766,0.5143703113503847
DNase,Gaussian MM,MI,0.20327353398219658,0.6954765473897763
DNase,Gaussian MM,Fowlkes Mallows,0.34956080183433835,0.6334861587766651
DNase,Gaussian MM,V Measure,0.23003459193511652,0.7021161483583367
DNase,HC (average),ARI,0.09322719768025109,0.6841614274536257
DNase,HC (average),MI,0.22429963084374946,0.7398176661622426
DNase,HC (average),Fowlkes Mallows,0.351454642767382,0.7473773281991215
DNase,HC (average),V Measure,0.25002887135332214,0.7449153738995561
DNase,HC (complete),ARI,-0.017854477947498417,0.5810122086952767
DNase,HC (complete),MI,0.12004889524836017,0.6311074157155935
DNase,HC (complete),Fowlkes Mallows,0.4334573250983651,0.7655222330241117
DNase,HC (complete),V Measure,0.15289761648660677,0.6417690277656566
DNase,HC (single),ARI,0.006954585172314397,0.4057873321935803
DNase,HC (single),MI,0.0967424875370982,0.4022437488294538
DNase,HC (single),Fowlkes Mallows,0.5657756694721511,0.9840706990398622
DNase,HC (single),V Measure,0.1309323758897243,0.41126563183748527
DNase,HC (ward),ARI,0.05796810160115653,1.0
DNase,HC (ward),MI,0.18676986824476724,1.0
DNase,HC (ward),Fowlkes Mallows,0.3279979051859893,1.0
DNase,HC (ward),V Measure,0.21381359012404727,1.0
DNase,K-Means,ARI,0.06691450164822363,0.11164377388996315
DNase,K-Means,MI,0.20494977208137072,0.17470771305914337
DNase,K-Means,Fowlkes Mallows,0.3392874313374979,0.3567295949316449
DNase,K-Means,V Measure,0.23146335397090412,0.1939225048531359
DNase,K-Means (minibatch),ARI,0.06340888105599131,0.1461056990270599
DNase,K-Means (minibatch),MI,0.20546421412716803,0.2010545409448039
DNase,K-Means (minibatch),Fowlkes Mallows,0.3445926813411607,0.5432359547211582
DNase,K-Means (minibatch),V Measure,0.23214437159306128,0.2228615399247554
DNase,K-Means++,ARI,0.07637414993026709,0.6728043050467957
DNase,K-Means++,MI,0.20736689089598648,0.7789333201220352
DNase,K-Means++,Fowlkes Mallows,0.3403971953801488,0.7388536313821528
DNase,K-Means++,V Measure,0.23368984835781742,0.7833310746393345
DNase,Birch,ARI,0.05796810160115653,0.4005576361999685
DNase,Birch,MI,0.18676986824476724,0.5245113444937106
DNase,Birch,Fowlkes Mallows,0.3279979051859893,0.5320375624319049
DNase,Birch,V Measure,0.21381359012404727,0.5343879663443288
DNase,Spectral (NN),ARI,0.08441480791551438,0.6013150012831527
DNase,Spectral (NN),MI,0.26647147378246755,0.7780328093173031
DNase,Spectral (NN),Fowlkes Mallows,0.38023647275218136,0.7151089333893024
DNase,Spectral (NN),V Measure,0.2915305650081312,0.7832751472924937
DNase,Spectral (RBF),ARI,0.004692574857115635,-0.0005570049380678787
DNase,Spectral (RBF),MI,0.008888567772767466,-6.356703765551848e-05
DNase,Spectral (RBF),Fowlkes Mallows,0.6304518776744632,0.5404949627018036
DNase,Spectral (RBF),V Measure,0.023659627382759216,0.03149866792297748
PANCAN,Gaussian MM,ARI,0.7512103299033646,0.0006228699012701275
PANCAN,Gaussian MM,MI,0.8389891117526421,0.0004111594815342019
PANCAN,Gaussian MM,Fowlkes Mallows,0.8130306726291421,0.3903213172603036
PANCAN,Gaussian MM,V Measure,0.8406332718963659,0.009867506161601558
PANCAN,HC (average),ARI,-0.002510355044182279,0.1761806665627441
PANCAN,HC (average),MI,0.0019434453367893332,0.17279023301471488
PANCAN,HC (average),Fowlkes Mallows,0.48739855781806246,0.9909646658079532
PANCAN,HC (average),V Measure,0.018145624975531575,0.17781719328340526
PANCAN,HC (complete),ARI,0.21852921991770505,0.16561758128245843
PANCAN,HC (complete),MI,0.37782287868382963,0.14023291323351397
PANCAN,HC (complete),Fowlkes Mallows,0.5114845410766509,0.7821667777414693
PANCAN,HC (complete),V Measure,0.3856079260813506,0.15023572702388951
PANCAN,HC (single),ARI,-0.00030533363954686645,0.0005029343431895581
PANCAN,HC (single),MI,-0.0005109241352011934,0.0005038455498710087
PANCAN,HC (single),Fowlkes Mallows,0.4912984995389337,0.9895135414026301
PANCAN,HC (single),V Measure,0.014043277376421777,0.006444443261913876
PANCAN,HC (ward),ARI,0.8156639801004166,1.0
PANCAN,HC (ward),MI,0.8764853807823668,1.0
PANCAN,HC (ward),Fowlkes Mallows,0.8597239152572628,1.0
PANCAN,HC (ward),V Measure,0.8777254510227758,1.0
PANCAN,K-Means,ARI,0.7913518456776499,0.0006430633214087739
PANCAN,K-Means,MI,0.8624140023332536,0.0010613261404029159
PANCAN,K-Means,Fowlkes Mallows,0.8411736586165174,0.30994663990877025
PANCAN,K-Means,V Measure,0.8637984085634739,0.00929733008188993
PANCAN,K-Means (minibatch),ARI,0.7705480117787055,0.0003764126180424421
PANCAN,K-Means (minibatch),MI,0.8428417592973381,2.764221746206383e-06
PANCAN,K-Means (minibatch),Fowlkes Mallows,0.8267105147335649,0.8225666821850051
PANCAN,K-Means (minibatch),V Measure,0.844432063594035,0.015935176200907005
PANCAN,K-Means++,ARI,0.7918846156071155,0.8747898403004861
PANCAN,K-Means++,MI,0.8624920130430825,0.889047851173769
PANCAN,K-Means++,Fowlkes Mallows,0.8415821909107839,0.9033287711309942
PANCAN,K-Means++,V Measure,0.8638757039317981,0.8898143048600259
PANCAN,Birch,ARI,0.8156639801004166,0.0012417113722748376
PANCAN,Birch,MI,0.8764853807823668,0.0017924587790439258
PANCAN,Birch,Fowlkes Mallows,0.8597239152572628,0.23480937912185224
PANCAN,Birch,V Measure,0.8777254510227758,0.0087922156454864
PANCAN,Spectral (NN),ARI,0.9812641011020068,0.6801545654886214
PANCAN,Spectral (NN),MI,0.9740935874393327,0.7169213968351495
PANCAN,Spectral (NN),Fowlkes Mallows,0.9858841679710376,0.7563342172504165
PANCAN,Spectral (NN),V Measure,0.9743575418168986,0.7189199653161338
PANCAN,Spectral (RBF),ARI,-0.0007221359688373649,0.0018150597948180945
PANCAN,Spectral (RBF),MI,-0.00021970204535682938,5.984839541121515e-05
PANCAN,Spectral (RBF),Fowlkes Mallows,0.39318234135073205,0.7232460621203993
PANCAN,Spectral (RBF),V Measure,0.01400056401104649,0.015909732413461095
Religion,Gaussian MM,ARI,0.1886183397714328,-0.00023862093466787317
Religion,Gaussian MM,MI,0.3380245084307337,-2.4787243717570175e-05
Religion,Gaussian MM,Fowlkes Mallows,0.5299768697630313,0.30030581831457015
Religion,Gaussian MM,V Measure,0.36376428925476445,0.025266992707843387
Religion,HC (average),ARI,0.013374231475048409,0.3102825392824299
Religion,HC (average),MI,0.02102434367000472,0.254028958448336
Religion,HC (average),Fowlkes Mallows,0.4660614598864872,0.9657449991837166
Religion,HC (average),V Measure,0.05223926484157462,0.26920477721742614
Religion,HC (complete),ARI,0.0751637371519236,0.0015012725844438008
Religion,HC (complete),MI,0.1521923965069772,0.0030134231212022382
Religion,HC (complete),Fowlkes Mallows,0.4904170636303789,0.13911382842742678
Religion,HC (complete),V Measure,0.18316548259509668,0.024239091724519563
Religion,HC (single),ARI,0.01304270550030267,1.0
Religion,HC (single),MI,0.019357618941673482,1.0
Religion,HC (single),Fowlkes Mallows,0.4657829213853506,1.0
Religion,HC (single),V Measure,0.050625674369183554,1.0
Religion,HC (ward),ARI,0.23383966179422994,0.892560482268654
Religion,HC (ward),MI,0.4111879095863287,0.8174115060828336
Religion,HC (ward),Fowlkes Mallows,0.5526357899766325,0.9693694712343545
Religion,HC (ward),V Measure,0.43359439455975307,0.8215033448833567
Religion,K-Means,ARI,0.20615237057932256,0.0589078742502926
Religion,K-Means,MI,0.36913973040853504,0.04125489297390044
Religion,K-Means,Fowlkes Mallows,0.5282631373776883,0.8987808763093921
Religion,K-Means,V Measure,0.394149905659432,0.058782747220438726
Religion,K-Means (minibatch),ARI,0.17056326792097887,0.0008178207509294523
Religion,K-Means (minibatch),MI,0.3093034680118885,0.0007662569612700963
Religion,K-Means (minibatch),Fowlkes Mallows,0.5165083049110691,0.9614544216063272
Religion,K-Means (minibatch),V Measure,0.3358337850260251,0.015309820565789594
Religion,K-Means++,ARI,0.20222382409825873,0.04708167079677332
Religion,K-Means++,MI,0.3562484680951843,0.04788854793321391
Religion,K-Means++,Fowlkes Mallows,0.5372394488241006,0.8102697097729099
Religion,K-Means++,V Measure,0.38104888001505555,0.06672318483813605
Religion,Birch,ARI,0.23396784985382774,0.02489067966704321
Religion,Birch,MI,0.41156646931629515,0.03692528813428524
Religion,Birch,Fowlkes Mallows,0.5527542377545922,0.35137244644124305
Religion,Birch,V Measure,0.43394434343455063,0.057497861019121986
Religion,Spectral (NN),ARI,0.13966047162208606,8.296706255709977e-05
Religion,Spectral (NN),MI,0.2700463390530012,6.055829635083448e-05
Religion,Spectral (NN),Fowlkes Mallows,0.3918640095513429,0.1506436792490977
Religion,Spectral (NN),V Measure,0.29998007971242413,0.022302660028113718
Religion,Spectral (RBF),ARI,0.013762699513008746,0.0014775656903687647
Religion,Spectral (RBF),MI,0.02024090041923805,0.00011891899054065482
Religion,Spectral (RBF),Fowlkes Mallows,0.4658422900257204,0.6075802216839264
Religion,Spectral (RBF),V Measure,0.05209114936709857,0.03360505901045512
Spam base,Gaussian MM,ARI,0.20359780107892583,0.46359776427816957
Spam base,Gaussian MM,MI,0.17689531716472018,0.2587039408339952
Spam base,Gaussian MM,Fowlkes Mallows,0.6407012753985579,0.9170681771585983
Spam base,Gaussian MM,V Measure,0.1771210104855361,0.25898892885290603
Spam base,HC (average),ARI,-0.002159760960660324,0.009072873488682463
Spam base,HC (average),MI,0.004847317702730738,0.000267262346934389
Spam base,HC (average),Fowlkes Mallows,0.7189318230102926,0.8660635146477078
Spam base,HC (average),V Measure,0.005428612245506416,0.0007434111102075125
Spam base,HC (complete),ARI,0.19323089466162496,1.0
Spam base,HC (complete),MI,0.18529507920265118,1.0
Spam base,HC (complete),Fowlkes Mallows,0.7070854627624356,1.0
Spam base,HC (complete),V Measure,0.18554839075895585,1.0
Spam base,HC (single),ARI,0.00036312845018009773,1.0
Spam base,HC (single),MI,0.0003171022709471637,1.0
Spam base,HC (single),Fowlkes Mallows,0.7225138062474631,1.0
Spam base,HC (single),V Measure,0.0009352752135101776,1.0
Spam base,HC (ward),ARI,0.04769516500588354,0.5537751526971505
Spam base,HC (ward),MI,0.0404400638269977,0.40312595544594254
Spam base,HC (ward),Fowlkes Mallows,0.6900815618600027,0.9273889516411882
Spam base,HC (ward),V Measure,0.04077248802050703,0.40335955775960475
Spam base,K-Means,ARI,0.03871499103438559,0.8338550853939743
Spam base,K-Means,MI,0.038263255041161105,0.6829616108332354
Spam base,K-Means,Fowlkes Mallows,0.6985014472955049,0.9807803291343243
Spam base,K-Means,V Measure,0.03860405646892211,0.6831121478451951
Spam base,K-Means (minibatch),ARI,0.0519800864475569,0.714493787437541
Spam base,K-Means (minibatch),MI,0.04263794032305848,0.6295542877017624
Spam base,K-Means (minibatch),Fowlkes Mallows,0.6866758964043953,0.9690545835427227
Spam base,K-Means (minibatch),V Measure,0.04296798848146519,0.6297616841579784
Spam base,K-Means++,ARI,0.03763814739665292,0.9365866659699078
Spam base,K-Means++,MI,0.0373193087399163,0.8948371757466329
Spam base,K-Means++,Fowlkes Mallows,0.6991286230833059,0.9938221821810973
Spam base,K-Means++,V Measure,0.03766247783560361,0.895010515692827
Spam base,Birch,ARI,0.04725129129416996,1.0
Spam base,Birch,MI,0.03949930390804962,1.0
Spam base,Birch,Fowlkes Mallows,0.6903927000437673,1.0
Spam base,Birch,V Measure,0.039839152890147694,1.0
Spam base,Spectral (NN),ARI,-0.005042236688687585,0.39227972672872713
Spam base,Spectral (NN),MI,0.01047096127392835,0.3851598373659636
Spam base,Spectral (NN),Fowlkes Mallows,0.7153300891137887,0.9944406128150436
Spam base,Spectral (NN),V Measure,0.010910194457305537,0.3860956156088258
Spam base,Spectral (RBF),ARI,0.0003628762764024016,3.863262578883868e-05
Spam base,Spectral (RBF),MI,0.0002616693557664643,-1.6007461481498724e-05
Spam base,Spectral (RBF),Fowlkes Mallows,0.7247455891482674,0.9340324514790362
Spam base,Spectral (RBF),V Measure,0.0008801568973282152,0.0009255866416269401
Statlog,Gaussian MM,ARI,0.4086508260059833,0.5845860958737307
Statlog,Gaussian MM,MI,0.5662129178552515,0.6867431116329722
Statlog,Gaussian MM,Fowlkes Mallows,0.5273732648578506,0.6780456937423357
Statlog,Gaussian MM,V Measure,0.5690591319335104,0.6882513576363866
Statlog,HC (average),ARI,0.15438338797118267,1.0
Statlog,HC (average),MI,0.2915146576649733,1.0
Statlog,HC (average),Fowlkes Mallows,0.36516693842634224,1.0
Statlog,HC (average),V Measure,0.29708332127261206,1.0
Statlog,HC (complete),ARI,0.18350979744087778,0.0017877622205226948
