data,method,clustering,criteria,rank,Accuracy,Consistency
Author,MDS,K-Means,ARI,5.0,0.7119532072780501,0.8334191529322449
Author,MDS,K-Means,ARI,10.0,0.8244242919801046,0.8516869165186379
Author,MDS,K-Means,Fowlkes Mallows,2.0,0.6870606183723296,0.8053399500288503
Author,MDS,K-Means,Fowlkes Mallows,5.0,0.7972869221473045,0.8782283398624192
Author,MDS,K-Means,Fowlkes Mallows,10.0,0.8771138625491206,0.8950725700447275
Author,MDS,K-Means,MI,2.0,0.6230382409413336,0.7652252320956853
Author,MDS,K-Means,MI,5.0,0.7384200652793028,0.7984151917706527
Author,MDS,K-Means,MI,10.0,0.827430850252103,0.8514928902202203
Author,MDS,K-Means,V Measure,2.0,0.6252722079840187,0.76711194870397
Author,MDS,K-Means,V Measure,5.0,0.73999140612616,0.8000764350175572
Author,MDS,K-Means,V Measure,10.0,0.8284824087502471,0.8527717114158743
Author,NMDS,HC,ARI,2.0,0.0,7.8052085922586e-05
Author,NMDS,HC,ARI,5.0,0.0,0.0
Author,NMDS,HC,ARI,10.0,0.0005191722744513905,0.0001547354791970418
Author,NMDS,HC,Fowlkes Mallows,2.0,0.2890662556240603,0.26823251550451294
Author,NMDS,HC,Fowlkes Mallows,5.0,0.28912500597161694,0.26850778084362575
Author,NMDS,HC,Fowlkes Mallows,10.0,0.2915765584153905,0.27200545449714914
Author,NMDS,HC,MI,2.0,0.0,0.00014457784281745356
Author,NMDS,HC,MI,5.0,0.0,0.0
Author,NMDS,HC,MI,10.0,0.0008128283818070192,0.0
Author,NMDS,HC,V Measure,2.0,0.005570586654448031,0.008376850512868926
Author,NMDS,HC,V Measure,5.0,0.005466183900239848,0.008087895824422417
Author,NMDS,HC,V Measure,10.0,0.0068333516798252565,0.00828213969552387
Author,NMDS,K-Means,ARI,2.0,0.0002662398469137701,3.365543870110662e-05
Author,NMDS,K-Means,ARI,5.0,3.887055664218827e-05,6.403406187094031e-05
Author,NMDS,K-Means,ARI,10.0,0.0,0.0
Author,NMDS,K-Means,Fowlkes Mallows,2.0,0.2790812304198427,0.24945994483463813
Author,NMDS,K-Means,Fowlkes Mallows,5.0,0.2791504677528724,0.24990441603538743
Author,NMDS,K-Means,Fowlkes Mallows,10.0,0.27923949136276904,0.2500371823810675
Author,NMDS,K-Means,MI,2.0,0.0,3.471814618480604e-05
Author,NMDS,K-Means,MI,5.0,0.0,7.11665565992903e-05
Author,NMDS,K-Means,MI,10.0,0.0,0.0
Author,NMDS,K-Means,V Measure,2.0,0.00571742924390683,0.00802766833500216
Author,NMDS,K-Means,V Measure,5.0,0.005446484124642595,0.008069019262746802
Author,NMDS,K-Means,V Measure,10.0,0.005861766915249832,0.007939308961915498
Author,PCA,HC,ARI,2.0,0.7502447482486757,0.7581661376339338
Author,PCA,HC,ARI,5.0,0.9767496947840347,0.975983786128454
Author,PCA,HC,ARI,10.0,0.9807133517290008,0.9739677282093954
Author,PCA,HC,Fowlkes Mallows,2.0,0.8253750843668842,0.8263595235969706
Author,PCA,HC,Fowlkes Mallows,5.0,0.9840051844679283,0.9834877676297757
Author,PCA,HC,Fowlkes Mallows,10.0,0.9867329329791497,0.9821053196815488
Author,PCA,HC,MI,2.0,0.7726144555398495,0.8116412799677727
Author,PCA,HC,MI,5.0,0.9662737092678446,0.9662408825858202
Author,PCA,HC,MI,10.0,0.9713257198305111,0.9632196790969418
Author,PCA,HC,V Measure,2.0,0.7739993155639856,0.8132317697253525
Author,PCA,HC,V Measure,5.0,0.9664876932993423,0.9665511006456695
Author,PCA,HC,V Measure,10.0,0.971507655930755,0.9635579512153751
Author,PCA,K-Means,ARI,2.0,0.6959127644353894,0.9804727298683689
Author,PCA,K-Means,ARI,5.0,0.9359584493978416,0.9884384296084541
Author,PCA,K-Means,ARI,10.0,0.9390032435863942,0.9899550107301585
Author,PCA,K-Means,Fowlkes Mallows,2.0,0.7862400579230783,0.9858276911224301
Author,PCA,K-Means,Fowlkes Mallows,5.0,0.9558511568782018,0.9920155475352014
Author,PCA,K-Means,Fowlkes Mallows,10.0,0.957962676351934,0.993069363934535
Author,PCA,K-Means,MI,2.0,0.7230204894313591,0.9697005078662108
Author,PCA,K-Means,MI,5.0,0.9128086443332245,0.9811709277859704
Author,PCA,K-Means,MI,10.0,0.9181304807537489,0.9848526248210203
Author,PCA,K-Means,V Measure,2.0,0.7246946081853308,0.9699533329412687
Author,PCA,K-Means,V Measure,5.0,0.9133597741581428,0.9813426025485138
Author,PCA,K-Means,V Measure,10.0,0.9186483797960995,0.9849909949594762
Author,Random Projection,HC,ARI,2.0,0.09400341583201886,0.021496411807982733
Author,Random Projection,HC,ARI,5.0,0.1883787166060913,0.05927532971965118
Author,Random Projection,HC,ARI,10.0,0.3166376226532806,0.14391917287489964
Author,Random Projection,HC,Fowlkes Mallows,2.0,0.36180398939314223,0.2949639986982434
Author,Random Projection,HC,Fowlkes Mallows,5.0,0.42781926235960455,0.3203732355615859
Author,Random Projection,HC,Fowlkes Mallows,10.0,0.5194037934628899,0.38497147802445025
Author,Random Projection,HC,MI,2.0,0.1258975291935086,0.028031751129375896
Author,Random Projection,HC,MI,5.0,0.21350465221468512,0.06865138339651264
Author,Random Projection,HC,MI,10.0,0.3381093251156434,0.15925965211515417
Author,Random Projection,HC,V Measure,2.0,0.13120473868447496,0.03620149939140459
Author,Random Projection,HC,V Measure,5.0,0.218272185472875,0.07645458274164671
Author,Random Projection,HC,V Measure,10.0,0.3421364911046251,0.16636783513771444
Author,Random Projection,K-Means,ARI,2.0,0.10771679902148977,0.027229365121738847
Author,Random Projection,K-Means,ARI,5.0,0.22751224944038864,0.08482390433728196
Author,Random Projection,K-Means,ARI,10.0,0.3573055193691151,0.19038744528681104
Author,Random Projection,K-Means,Fowlkes Mallows,2.0,0.35921665601240554,0.27385209488480594
Author,Random Projection,K-Means,Fowlkes Mallows,5.0,0.4459688362639541,0.3171485841318246
Author,Random Projection,K-Means,Fowlkes Mallows,10.0,0.5414318844946062,0.4004915324637443
Author,Random Projection,K-Means,MI,2.0,0.13570518530340908,0.032623095179012705
Author,Random Projection,K-Means,MI,5.0,0.24575039587824507,0.09100761953867856
Author,Random Projection,K-Means,MI,10.0,0.3716878852574543,0.1944316973287772
Author,Random Projection,K-Means,V Measure,2.0,0.14083086509867204,0.0404049495369438
Author,Random Projection,K-Means,V Measure,5.0,0.2502241519246757,0.09832423598146542
Author,Random Projection,K-Means,V Measure,10.0,0.37543271439518056,0.20097698413591486
Author,Spectral (NN),HC,ARI,2.0,0.9131250002862338,0.924944724024286
Author,Spectral (NN),HC,ARI,5.0,0.9406040185212252,0.9160363265347999
Author,Spectral (NN),HC,ARI,10.0,0.7351365118044234,0.6491745909133482
Author,Spectral (NN),HC,Fowlkes Mallows,2.0,0.9404378104178741,0.9485879401566947
Author,Spectral (NN),HC,Fowlkes Mallows,5.0,0.9597399762862328,0.9433554230794712
Author,Spectral (NN),HC,Fowlkes Mallows,10.0,0.8351771477583313,0.7898896096985112
Author,Spectral (NN),HC,MI,2.0,0.8965946919349415,0.9118240714759546
Author,Spectral (NN),HC,MI,5.0,0.9335305052138361,0.9223672255466812
Author,Spectral (NN),HC,MI,10.0,0.8062153604224872,0.7451571829067202
Author,Spectral (NN),HC,V Measure,2.0,0.8972646737096374,0.9126510235141233
Author,Spectral (NN),HC,V Measure,5.0,0.933955048287177,0.9230887519263604
Author,Spectral (NN),HC,V Measure,10.0,0.8075671930269945,0.747873120960358
Author,Spectral (NN),K-Means,ARI,2.0,0.9087016731449424,0.9298757432260515
Author,Spectral (NN),K-Means,ARI,5.0,0.7835370643756895,0.6695109894495256
Author,Spectral (NN),K-Means,ARI,10.0,0.45809370251453324,0.38186197630240803
Author,Spectral (NN),K-Means,Fowlkes Mallows,2.0,0.9372349705788422,0.9517455337731608
Author,Spectral (NN),K-Means,Fowlkes Mallows,5.0,0.8604443176172342,0.7914491538660245
Author,Spectral (NN),K-Means,Fowlkes Mallows,10.0,0.6555955347280156,0.6282726087365267
Author,Spectral (NN),K-Means,MI,2.0,0.8910405440191675,0.9149302616557916
Author,Spectral (NN),K-Means,MI,5.0,0.8383569270630008,0.780476238872579
Author,Spectral (NN),K-Means,MI,10.0,0.6283279284665099,0.555931126844949
Author,Spectral (NN),K-Means,V Measure,2.0,0.89174151307798,0.9157226215312019
Author,Spectral (NN),K-Means,V Measure,5.0,0.8394338617509837,0.7826504755449086
Author,Spectral (NN),K-Means,V Measure,10.0,0.6308566606785455,0.5605650408790143
Author,Spectral (RBF),HC,ARI,2.0,0.7655440513927857,0.7531397777323455
Author,Spectral (RBF),HC,ARI,5.0,0.6901460370244986,0.7330025543173327
Author,Spectral (RBF),HC,ARI,10.0,0.8566128840326545,0.77795487526415
Author,Spectral (RBF),HC,Fowlkes Mallows,2.0,0.8362616535740812,0.8230296660238485
Author,Spectral (RBF),HC,Fowlkes Mallows,5.0,0.7821845293102647,0.80937949379442
Author,Spectral (RBF),HC,Fowlkes Mallows,10.0,0.901281209832663,0.8472898714001885
Author,Spectral (RBF),HC,MI,2.0,0.7817289336841988,0.8107373760754215
Author,Spectral (RBF),HC,MI,5.0,0.7608443926581123,0.7735925169310197
Author,Spectral (RBF),HC,MI,10.0,0.8433191811576869,0.7720001946018284
Author,Spectral (RBF),HC,V Measure,2.0,0.7830592258509106,0.8123387350449437
Author,Spectral (RBF),HC,V Measure,5.0,0.7622946371840752,0.7755184348509513
Author,Spectral (RBF),HC,V Measure,10.0,0.8443097531803803,0.7740852921401511
Author,Spectral (RBF),K-Means,ARI,2.0,0.7068786664598211,0.9635609984163506
Author,Spectral (RBF),K-Means,ARI,5.0,0.8301966879687096,0.9105106409051686
Author,Spectral (RBF),K-Means,ARI,10.0,0.8681231798654986,0.8766643601586291
Author,Spectral (RBF),K-Means,Fowlkes Mallows,2.0,0.7940000248340776,0.9735227039669245
Author,Spectral (RBF),K-Means,Fowlkes Mallows,5.0,0.8813606281805947,0.9370113653478733
Author,Spectral (RBF),K-Means,Fowlkes Mallows,10.0,0.9079818367646578,0.9134341219336017
Author,Spectral (RBF),K-Means,MI,2.0,0.7391955346816498,0.9516969877498562
Author,Spectral (RBF),K-Means,MI,5.0,0.8624690485162941,0.9176400806423289
Author,Spectral (RBF),K-Means,MI,10.0,0.8866043217192535,0.8865887703508446
Author,Spectral (RBF),K-Means,V Measure,2.0,0.7407708132185824,0.9520990617388838
Author,Spectral (RBF),K-Means,V Measure,5.0,0.8633068946738119,0.9183529056998668
Author,Spectral (RBF),K-Means,V Measure,10.0,0.8872989393939824,0.8875791054671338
Author,UMAP,HC,ARI,2.0,0.9785975096898332,0.989963476668152
Author,UMAP,HC,ARI,5.0,0.9773255167493116,0.9910875353817471
Author,UMAP,HC,ARI,10.0,0.9775170561902816,0.9908060260126871
Author,UMAP,HC,Fowlkes Mallows,2.0,0.9852655227101432,0.9930897319526542
Author,UMAP,HC,Fowlkes Mallows,5.0,0.9843889504895799,0.9938621944912335
Author,UMAP,HC,Fowlkes Mallows,10.0,0.984520927568731,0.9936680684590068
Author,UMAP,HC,MI,2.0,0.9661167577306241,0.9846930393301819
Author,UMAP,HC,MI,5.0,0.9642394621177321,0.9861229712386019
Author,UMAP,HC,MI,10.0,0.9644887587655301,0.9858968250548559
Author,UMAP,HC,V Measure,2.0,0.9663313804847943,0.9848332956820731
Author,UMAP,HC,V Measure,5.0,0.9644659566882394,0.9862500766503863
Author,UMAP,HC,V Measure,10.0,0.964713678775434,0.9860259754933121
Author,UMAP,K-Means,ARI,2.0,0.9785975096898332,0.989963476668152
Author,UMAP,K-Means,ARI,5.0,0.9773255167493116,0.9910875353817471
Author,UMAP,K-Means,ARI,10.0,0.9775170561902816,0.9908060260126871
Author,UMAP,K-Means,Fowlkes Mallows,2.0,0.9852655227101432,0.9930897319526542
Author,UMAP,K-Means,Fowlkes Mallows,5.0,0.9843889504895799,0.9938621944912335
Author,UMAP,K-Means,Fowlkes Mallows,10.0,0.984520927568731,0.9936680684590068
Author,UMAP,K-Means,MI,2.0,0.9661167577306241,0.9846930393301819
Author,UMAP,K-Means,MI,5.0,0.9642394621177321,0.9861229712386019
Author,UMAP,K-Means,MI,10.0,0.9644887587655301,0.9858968250548559
Author,UMAP,K-Means,V Measure,2.0,0.9663313804847943,0.9848332956820733
Author,UMAP,K-Means,V Measure,5.0,0.9644659566882394,0.9862500766503863
Author,UMAP,K-Means,V Measure,10.0,0.964713678775434,0.9860259754933121
Author,t-SNE,HC,ARI,2.0,0.9802145587609777,0.9898481450332454
Author,t-SNE,HC,Fowlkes Mallows,2.0,0.9863810105421016,0.9930131093402926
Author,t-SNE,HC,MI,2.0,0.9692437143289763,0.9859886139924803
Author,t-SNE,HC,V Measure,2.0,0.9694385642774573,0.9861170781736972
Author,t-SNE,K-Means,ARI,2.0,0.9753282405018864,0.9803419570740209
Author,t-SNE,K-Means,Fowlkes Mallows,2.0,0.9829602104676818,0.9863464588864305
Author,t-SNE,K-Means,MI,2.0,0.9658176396865821,0.9790128427505048
Author,t-SNE,K-Means,V Measure,2.0,0.9660332166136114,0.9792019181843825
Darmanis,DAE,HC,ARI,2.0,0.07060625266053988,0.5889363563253972
Darmanis,DAE,HC,ARI,5.0,0.07052254847767161,0.6115772509175841
Darmanis,DAE,HC,ARI,10.0,0.07019045293116197,0.5909979052554148
Darmanis,DAE,HC,Fowlkes Mallows,2.0,0.40372626854755184,0.7697082006765228
Darmanis,DAE,HC,Fowlkes Mallows,5.0,0.3990681448975337,0.7748400621540068
Darmanis,DAE,HC,Fowlkes Mallows,10.0,0.39815457351710776,0.7634815292788802
Darmanis,DAE,HC,MI,2.0,0.1498588637378321,0.5938718256195226
Darmanis,DAE,HC,MI,5.0,0.15013517287078865,0.6149545891325185
Darmanis,DAE,HC,MI,10.0,0.1498830376757126,0.6007834171242492
Darmanis,DAE,HC,V Measure,2.0,0.16339201109267554,0.6031543803555692
Darmanis,DAE,HC,V Measure,5.0,0.16362133471373982,0.6239901606750877
Darmanis,DAE,HC,V Measure,10.0,0.1634234193268939,0.6104052880828511
Darmanis,DAE,K-Means,ARI,2.0,0.08052999617576052,0.6134852060643335
Darmanis,DAE,K-Means,ARI,5.0,0.07196309859900983,0.6462705560180215
Darmanis,DAE,K-Means,ARI,10.0,0.07153857672678217,0.6646016195809819
Darmanis,DAE,K-Means,Fowlkes Mallows,2.0,0.4034495940190961,0.7758851999642952
Darmanis,DAE,K-Means,Fowlkes Mallows,5.0,0.40087950157372176,0.7968622271375765
Darmanis,DAE,K-Means,Fowlkes Mallows,10.0,0.3989444884298694,0.8059014261370367
Darmanis,DAE,K-Means,MI,2.0,0.15610859007151232,0.6087837768691065
Darmanis,DAE,K-Means,MI,5.0,0.15195295492947808,0.6273179953796075
Darmanis,DAE,K-Means,MI,10.0,0.15233901295761343,0.6329104546475172
Darmanis,DAE,K-Means,V Measure,2.0,0.16946578621523314,0.6177176601039814
Darmanis,DAE,K-Means,V Measure,5.0,0.165403827200991,0.6359133277455538
Darmanis,DAE,K-Means,V Measure,10.0,0.16587972258918116,0.64175774958118
Darmanis,Isomap,HC,ARI,2.0,0.39432125908853655,0.5156890510510608
Darmanis,Isomap,HC,ARI,5.0,0.42755460701741604,0.4891063403550408
Darmanis,Isomap,HC,ARI,10.0,0.4105521209721381,0.471829978486731
Darmanis,Isomap,HC,Fowlkes Mallows,2.0,0.5855805979233947,0.7464787450655025
Darmanis,Isomap,HC,Fowlkes Mallows,5.0,0.6086210334380611,0.7500788411720757
Darmanis,Isomap,HC,Fowlkes Mallows,10.0,0.5978201173346427,0.7522354155121432
Darmanis,Isomap,HC,MI,2.0,0.4581571464057789,0.5254130718715101
Darmanis,Isomap,HC,MI,5.0,0.5477471916478965,0.4892648941136612
Darmanis,Isomap,HC,MI,10.0,0.5382317614921975,0.4620149092401234
Darmanis,Isomap,HC,V Measure,2.0,0.46611726066708764,0.5377329373657581
Darmanis,Isomap,HC,V Measure,5.0,0.5543761571737705,0.5013824312794103
Darmanis,Isomap,HC,V Measure,10.0,0.5450060855550501,0.475202761928251
Darmanis,Isomap,K-Means,ARI,2.0,0.4080424108280919,0.5598161182777961
Darmanis,Isomap,K-Means,ARI,5.0,0.4171715020524609,0.5914019897102691
Darmanis,Isomap,K-Means,ARI,10.0,0.4167789615139467,0.524960410843735
Darmanis,Isomap,K-Means,Fowlkes Mallows,2.0,0.5901852188709295,0.7766479745892336
Darmanis,Isomap,K-Means,Fowlkes Mallows,5.0,0.6003545238142214,0.8111194073613563
Darmanis,Isomap,K-Means,Fowlkes Mallows,10.0,0.6000616811846889,0.7820343588385377
Darmanis,Isomap,K-Means,MI,2.0,0.45970132926102986,0.5480852559386565
Darmanis,Isomap,K-Means,MI,5.0,0.5158130821975068,0.5609156597913871
Darmanis,Isomap,K-Means,MI,10.0,0.5152622547232636,0.5221518916415041
Darmanis,Isomap,K-Means,V Measure,2.0,0.46749514130199543,0.5602363815110892
Darmanis,Isomap,K-Means,V Measure,5.0,0.5229001141323347,0.572013840717376
Darmanis,Isomap,K-Means,V Measure,10.0,0.522356205667249,0.5342190898609391
Darmanis,MDS,HC,ARI,2.0,0.19543645885077612,0.03785111295001713
Darmanis,MDS,HC,ARI,5.0,0.25047001969710914,0.1366003266114901
Darmanis,MDS,HC,ARI,10.0,0.37629919285361074,0.3201177763453057
Darmanis,MDS,HC,Fowlkes Mallows,2.0,0.4231099086866928,0.3109706277588345
Darmanis,MDS,HC,Fowlkes Mallows,5.0,0.46394416318858783,0.43016258379482586
Darmanis,MDS,HC,Fowlkes Mallows,10.0,0.5562343038002404,0.5602084705741404
Darmanis,MDS,HC,MI,2.0,0.19734084359856774,0.027622498526936202
Darmanis,MDS,HC,MI,5.0,0.2728694421431163,0.14808370789881747
Darmanis,MDS,HC,MI,10.0,0.3845924069272128,0.3206331548974082
Darmanis,MDS,HC,V Measure,2.0,0.20839689290509092,0.04673533574096405
Darmanis,MDS,HC,V Measure,5.0,0.2829132794691056,0.16345443639504806
Darmanis,MDS,HC,V Measure,10.0,0.39316279756132144,0.3332031593764361
Darmanis,MDS,K-Means,ARI,2.0,0.21548450297507352,0.02214925361320023
Darmanis,MDS,K-Means,ARI,5.0,0.3448992260362392,0.20410174821382404
Darmanis,MDS,K-Means,ARI,10.0,0.442832327760256,0.44383796761251476
Darmanis,MDS,K-Means,Fowlkes Mallows,2.0,0.4304300582369182,0.26776469912083833
Darmanis,MDS,K-Means,Fowlkes Mallows,5.0,0.5257003143053803,0.42940658972276463
Darmanis,MDS,K-Means,Fowlkes Mallows,10.0,0.5982089418097414,0.6206009943250566
Darmanis,MDS,K-Means,MI,2.0,0.20967030223965982,0.020866438260402607
Darmanis,MDS,K-Means,MI,5.0,0.3619873927878397,0.22450927557752395
Darmanis,MDS,K-Means,MI,10.0,0.44739974139663546,0.4444433875029783
Darmanis,MDS,K-Means,V Measure,2.0,0.22037181161448108,0.039224007654846765
Darmanis,MDS,K-Means,V Measure,5.0,0.3706406182672998,0.23860835518019452
Darmanis,MDS,K-Means,V Measure,10.0,0.45492532874210667,0.45448408572146565
Darmanis,NMDS,HC,ARI,2.0,0.0,9.285130501705264e-06
Darmanis,NMDS,HC,ARI,5.0,0.0017243381823974823,0.0
Darmanis,NMDS,HC,ARI,10.0,0.0,0.00021863307189507833
Darmanis,NMDS,HC,Fowlkes Mallows,2.0,0.28437010612736424,0.2698277333149747
Darmanis,NMDS,HC,Fowlkes Mallows,5.0,0.2839161365468574,0.2680173739169045
Darmanis,NMDS,HC,Fowlkes Mallows,10.0,0.2855525585053494,0.2733633787241429
Darmanis,NMDS,HC,MI,2.0,0.0,0.0
Darmanis,NMDS,HC,MI,5.0,0.0018553475631376477,0.0
Darmanis,NMDS,HC,MI,10.0,0.0,0.000234023562304746
Darmanis,NMDS,HC,V Measure,2.0,0.01305982788585669,0.01935823614367779
Darmanis,NMDS,HC,V Measure,5.0,0.015606081772318958,0.01928531406171508
Darmanis,NMDS,HC,V Measure,10.0,0.012695166233230179,0.01977783874240155
Darmanis,NMDS,K-Means,ARI,2.0,0.0,0.0002817445575129602
Darmanis,NMDS,K-Means,ARI,5.0,0.0001417292337015346,4.4424289236329284e-05
Darmanis,NMDS,K-Means,ARI,10.0,0.000937410985819144,0.0
Darmanis,NMDS,K-Means,Fowlkes Mallows,2.0,0.2733267478619598,0.24918754305198795
Darmanis,NMDS,K-Means,Fowlkes Mallows,5.0,0.273778552114226,0.24871786411755367
Darmanis,NMDS,K-Means,Fowlkes Mallows,10.0,0.2744961360828089,0.24938630116965763
Darmanis,NMDS,K-Means,MI,2.0,0.0,0.0003507937294979007
Darmanis,NMDS,K-Means,MI,5.0,0.0,0.00010066641329225284
Darmanis,NMDS,K-Means,MI,10.0,0.0006385766626533146,5.705870844950153e-06
Darmanis,NMDS,K-Means,V Measure,2.0,0.012836684692435128,0.019022908986504636
Darmanis,NMDS,K-Means,V Measure,5.0,0.012625147083585444,0.0187665806129544
Darmanis,NMDS,K-Means,V Measure,10.0,0.014195670740470422,0.018698233714396956
Darmanis,PCA,HC,ARI,2.0,0.4098642228192763,0.5129766855946932
Darmanis,PCA,HC,ARI,5.0,0.5193064473203343,0.6291200662219363
Darmanis,PCA,HC,ARI,10.0,0.4912011527435752,0.6162499021375971
Darmanis,PCA,HC,Fowlkes Mallows,2.0,0.5806640553935769,0.7042357062307305
Darmanis,PCA,HC,Fowlkes Mallows,5.0,0.6989294235026392,0.7845217800871083
Darmanis,PCA,HC,Fowlkes Mallows,10.0,0.6847651711779243,0.7807422449623691
Darmanis,PCA,HC,MI,2.0,0.4712373087222499,0.57769616568546
Darmanis,PCA,HC,MI,5.0,0.6076200232258214,0.6799082763354538
Darmanis,PCA,HC,MI,10.0,0.5940489898563993,0.6678105524707856
Darmanis,PCA,HC,V Measure,2.0,0.47860135674144394,0.5857527505835002
Darmanis,PCA,HC,V Measure,5.0,0.6136715765797311,0.6861377404280256
Darmanis,PCA,HC,V Measure,10.0,0.6003641700337222,0.674306044860446
Darmanis,PCA,K-Means,ARI,2.0,0.42249096724335283,0.5732547028512799
Darmanis,PCA,K-Means,ARI,5.0,0.4722926080194014,0.8910347795351587
Darmanis,PCA,K-Means,ARI,10.0,0.47363845277007954,0.891697216983523
Darmanis,PCA,K-Means,Fowlkes Mallows,2.0,0.5833584900875486,0.7285693137939802
Darmanis,PCA,K-Means,Fowlkes Mallows,5.0,0.6617997520173265,0.9351956551261629
Darmanis,PCA,K-Means,Fowlkes Mallows,10.0,0.6629800627028172,0.9356436023468689
Darmanis,PCA,K-Means,MI,2.0,0.4734070563013422,0.618343003730694
Darmanis,PCA,K-Means,MI,5.0,0.5400809931859718,0.89001192061053
Darmanis,PCA,K-Means,MI,10.0,0.5453839952666172,0.890719104025915
Darmanis,PCA,K-Means,V Measure,2.0,0.48057528572372554,0.6253013296889485
Darmanis,PCA,K-Means,V Measure,5.0,0.5470198609870098,0.8919799477159234
Darmanis,PCA,K-Means,V Measure,10.0,0.5522637286565437,0.8926956596134527
