data,method1,method2,noise,sigma,criteria,rank,value,methods
Amphibians,DAE,Isomap,Laplace,0.0,MI,10,-0.003885651770491545,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,0.0,Fowlkes Mallows,10,0.7430651702496313,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,0.0,V Measure,10,0.0062504230060838484,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,0.5,ARI,10,-0.0017238559588586642,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,0.5,MI,10,-0.001222697589331897,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,0.5,Fowlkes Mallows,10,0.7395353984337436,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,0.5,V Measure,10,0.008884241569820012,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,1.0,ARI,10,-0.0010320621474792574,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,1.0,MI,10,-0.0007295412398190105,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,1.0,Fowlkes Mallows,10,0.7335039394454239,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,1.0,V Measure,10,0.009381073384041238,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,1.5,ARI,10,-0.0007420742203613593,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,1.5,MI,10,-0.0005362925505121692,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,1.5,Fowlkes Mallows,10,0.7535468963803954,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,1.5,V Measure,10,0.009533146188796882,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,2.0,ARI,10,0.0005632901099881033,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,2.0,MI,10,0.00041167173516606546,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,2.0,Fowlkes Mallows,10,0.7406057224057834,DAE:Isomap
Amphibians,DAE,Isomap,Laplace,2.0,V Measure,10,0.010501108793962892,DAE:Isomap
Amphibians,DAE,Isomap,Normal,0.0,ARI,10,-0.00552292819247412,DAE:Isomap
Amphibians,DAE,Isomap,Normal,0.0,MI,10,-0.003885651770491545,DAE:Isomap
Amphibians,DAE,Isomap,Normal,0.0,Fowlkes Mallows,10,0.7430651702496313,DAE:Isomap
Amphibians,DAE,Isomap,Normal,0.0,V Measure,10,0.0062504230060838484,DAE:Isomap
Amphibians,DAE,Isomap,Normal,0.5,ARI,10,-0.002796407084847269,DAE:Isomap
Amphibians,DAE,Isomap,Normal,0.5,MI,10,-0.001974227889946065,DAE:Isomap
Amphibians,DAE,Isomap,Normal,0.5,Fowlkes Mallows,10,0.731691927659218,DAE:Isomap
Amphibians,DAE,Isomap,Normal,0.5,V Measure,10,0.008150888961488181,DAE:Isomap
Amphibians,DAE,Isomap,Normal,1.0,ARI,10,-0.0018733529927374426,DAE:Isomap
Amphibians,DAE,Isomap,Normal,1.0,MI,10,-0.001333167423488083,DAE:Isomap
Amphibians,DAE,Isomap,Normal,1.0,Fowlkes Mallows,10,0.7393247830127595,DAE:Isomap
Amphibians,DAE,Isomap,Normal,1.0,V Measure,10,0.008772353729032307,DAE:Isomap
Amphibians,DAE,Isomap,Normal,1.5,ARI,10,0.00043176139307273426,DAE:Isomap
Amphibians,DAE,Isomap,Normal,1.5,MI,10,0.00031085913110208055,DAE:Isomap
Amphibians,DAE,Isomap,Normal,1.5,Fowlkes Mallows,10,0.7433086956718897,DAE:Isomap
Amphibians,DAE,Isomap,Normal,1.5,V Measure,10,0.010398217528591346,DAE:Isomap
Amphibians,DAE,Isomap,Normal,2.0,ARI,10,-0.0016824588286203745,DAE:Isomap
Amphibians,DAE,Isomap,Normal,2.0,MI,10,-0.0011800305673234238,DAE:Isomap
Amphibians,DAE,Isomap,Normal,2.0,Fowlkes Mallows,10,0.7398008968195693,DAE:Isomap
Amphibians,DAE,Isomap,Normal,2.0,V Measure,10,0.008927067503882646,DAE:Isomap
Amphibians,DAE,MDS,Laplace,0.0,ARI,10,-0.003324861855098776,DAE:MDS
Amphibians,DAE,MDS,Laplace,0.0,MI,10,-0.0023511587601679125,DAE:MDS
Amphibians,DAE,MDS,Laplace,0.0,Fowlkes Mallows,10,0.7378038900042101,DAE:MDS
Amphibians,DAE,MDS,Laplace,0.0,V Measure,10,0.007769171572466392,DAE:MDS
Amphibians,DAE,MDS,Laplace,0.5,ARI,10,-0.0019858128023193086,DAE:MDS
Amphibians,DAE,MDS,Laplace,0.5,MI,10,-0.0014016581175746012,DAE:MDS
Amphibians,DAE,MDS,Laplace,0.5,Fowlkes Mallows,10,0.7214110158061999,DAE:MDS
Amphibians,DAE,MDS,Laplace,0.5,V Measure,10,0.008728631790344115,DAE:MDS
Amphibians,DAE,MDS,Laplace,1.0,ARI,10,-0.002371172796800033,DAE:MDS
Amphibians,DAE,MDS,Laplace,1.0,MI,10,-0.001685980244797185,DAE:MDS
Amphibians,DAE,MDS,Laplace,1.0,Fowlkes Mallows,10,0.7393846818025103,DAE:MDS
Amphibians,DAE,MDS,Laplace,1.0,V Measure,10,0.008422727156697389,DAE:MDS
Amphibians,DAE,MDS,Laplace,1.5,ARI,10,-0.001180779488286748,DAE:MDS
Amphibians,DAE,MDS,Laplace,1.5,MI,10,-0.0008409001777740636,DAE:MDS
Amphibians,DAE,MDS,Laplace,1.5,Fowlkes Mallows,10,0.7356738351783341,DAE:MDS
Amphibians,DAE,MDS,Laplace,1.5,V Measure,10,0.009266712465547987,DAE:MDS
Amphibians,DAE,MDS,Laplace,2.0,ARI,10,-0.00010639982615439782,DAE:MDS
Amphibians,DAE,MDS,Laplace,2.0,MI,10,-7.988845315238642e-05,DAE:MDS
Amphibians,DAE,MDS,Laplace,2.0,Fowlkes Mallows,10,0.7412291184180003,DAE:MDS
Amphibians,DAE,MDS,Laplace,2.0,V Measure,10,0.010013498134902493,DAE:MDS
Amphibians,DAE,MDS,Normal,0.0,ARI,10,-0.0040665124465726985,DAE:MDS
Amphibians,DAE,MDS,Normal,0.0,MI,10,-0.002877729769838412,DAE:MDS
Amphibians,DAE,MDS,Normal,0.0,Fowlkes Mallows,10,0.7478540841165386,DAE:MDS
Amphibians,DAE,MDS,Normal,0.0,V Measure,10,0.0072356125634947185,DAE:MDS
Amphibians,DAE,MDS,Normal,0.5,ARI,10,-0.001873870344160056,DAE:MDS
Amphibians,DAE,MDS,Normal,0.5,MI,10,-0.0013242483886697237,DAE:MDS
Amphibians,DAE,MDS,Normal,0.5,Fowlkes Mallows,10,0.7244036160683308,DAE:MDS
Amphibians,DAE,MDS,Normal,0.5,V Measure,10,0.008802955755253245,DAE:MDS
Amphibians,DAE,MDS,Normal,1.0,ARI,10,-0.0011836137553091874,DAE:MDS
Amphibians,DAE,MDS,Normal,1.0,MI,10,-0.0008416704992626655,DAE:MDS
Amphibians,DAE,MDS,Normal,1.0,Fowlkes Mallows,10,0.7311861725206182,DAE:MDS
Amphibians,DAE,MDS,Normal,1.0,V Measure,10,0.00927060874701359,DAE:MDS
Amphibians,DAE,MDS,Normal,1.5,ARI,10,-0.0002522684717246788,DAE:MDS
Amphibians,DAE,MDS,Normal,1.5,MI,10,-0.00018432864734873537,DAE:MDS
Amphibians,DAE,MDS,Normal,1.5,Fowlkes Mallows,10,0.740289262751808,DAE:MDS
Amphibians,DAE,MDS,Normal,1.5,V Measure,10,0.009912380712851799,DAE:MDS
Amphibians,DAE,MDS,Normal,2.0,ARI,10,0.0003732159141747197,DAE:MDS
Amphibians,DAE,MDS,Normal,2.0,MI,10,0.0002707723801709338,DAE:MDS
Amphibians,DAE,MDS,Normal,2.0,Fowlkes Mallows,10,0.7378801846855425,DAE:MDS
Amphibians,DAE,MDS,Normal,2.0,V Measure,10,0.010364867407603975,DAE:MDS
Amphibians,DAE,NMDS,Laplace,0.0,ARI,10,0.0008479036202140477,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,0.0,MI,10,0.0005910931311281478,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,0.0,Fowlkes Mallows,10,0.7313105393124772,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,0.0,V Measure,10,0.01069373916100485,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,0.5,ARI,10,-0.0007709602552956269,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,0.5,MI,10,-0.0005467312106700538,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,0.5,Fowlkes Mallows,10,0.7298581372831989,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,0.5,V Measure,10,0.009566950687451935,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,1.0,ARI,10,-0.0007681144638780614,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,1.0,MI,10,-0.0005482442240153621,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,1.0,Fowlkes Mallows,10,0.7303867668911106,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,1.0,V Measure,10,0.009565494021211866,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,1.5,ARI,10,-0.0003364320384918569,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,1.5,MI,10,-0.00023987399105740887,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,1.5,Fowlkes Mallows,10,0.7192175038554085,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,1.5,V Measure,10,0.009883853205708676,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,2.0,ARI,10,0.00017003321787787312,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,2.0,MI,10,0.00012134069192560857,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,2.0,Fowlkes Mallows,10,0.7325223786855309,DAE:NMDS
Amphibians,DAE,NMDS,Laplace,2.0,V Measure,10,0.010223473885506582,DAE:NMDS
Amphibians,DAE,NMDS,Normal,0.0,ARI,10,-0.00018455453483004675,DAE:NMDS
Amphibians,DAE,NMDS,Normal,0.0,MI,10,-0.0001359148309686212,DAE:NMDS
Amphibians,DAE,NMDS,Normal,0.0,Fowlkes Mallows,10,0.7367474534653061,DAE:NMDS
Amphibians,DAE,NMDS,Normal,0.0,V Measure,10,0.00996600291665037,DAE:NMDS
Amphibians,DAE,NMDS,Normal,0.5,ARI,10,-0.0013610066544016608,DAE:NMDS
Amphibians,DAE,NMDS,Normal,0.5,MI,10,-0.0009606946327764214,DAE:NMDS
Amphibians,DAE,NMDS,Normal,0.5,Fowlkes Mallows,10,0.7331265445282144,DAE:NMDS
Amphibians,DAE,NMDS,Normal,0.5,V Measure,10,0.009153332659751047,DAE:NMDS
Amphibians,DAE,NMDS,Normal,1.0,ARI,10,-0.0010385727282007976,DAE:NMDS
Amphibians,DAE,NMDS,Normal,1.0,MI,10,-0.0007328678022239749,DAE:NMDS
Amphibians,DAE,NMDS,Normal,1.0,Fowlkes Mallows,10,0.7330576617752375,DAE:NMDS
Amphibians,DAE,NMDS,Normal,1.0,V Measure,10,0.00938002689758479,DAE:NMDS
Amphibians,DAE,NMDS,Normal,1.5,ARI,10,-0.000891530322488057,DAE:NMDS
Amphibians,DAE,NMDS,Normal,1.5,MI,10,-0.000629118251272864,DAE:NMDS
Amphibians,DAE,NMDS,Normal,1.5,Fowlkes Mallows,10,0.733077820991237,DAE:NMDS
Amphibians,DAE,NMDS,Normal,1.5,V Measure,10,0.00948107433026487,DAE:NMDS
Amphibians,DAE,NMDS,Normal,2.0,ARI,10,0.001207663616722176,DAE:NMDS
Amphibians,DAE,NMDS,Normal,2.0,MI,10,0.0008520541506692341,DAE:NMDS
Amphibians,DAE,NMDS,Normal,2.0,Fowlkes Mallows,10,0.736699226551563,DAE:NMDS
Amphibians,DAE,NMDS,Normal,2.0,V Measure,10,0.010943675464076357,DAE:NMDS
Amphibians,DAE,PCA,Laplace,0.0,ARI,10,-0.0028142839466935837,DAE:PCA
Amphibians,DAE,PCA,Laplace,0.0,MI,10,-0.001970014722791522,DAE:PCA
Amphibians,DAE,PCA,Laplace,0.0,Fowlkes Mallows,10,0.7088059075915603,DAE:PCA
Amphibians,DAE,PCA,Laplace,0.0,V Measure,10,0.008182345729746325,DAE:PCA
Amphibians,DAE,PCA,Laplace,0.5,ARI,10,-0.002285517922584526,DAE:PCA
Amphibians,DAE,PCA,Laplace,0.5,MI,10,-0.0016162418541465623,DAE:PCA
Amphibians,DAE,PCA,Laplace,0.5,Fowlkes Mallows,10,0.7328006736318661,DAE:PCA
Amphibians,DAE,PCA,Laplace,0.5,V Measure,10,0.008503912541754938,DAE:PCA
Amphibians,DAE,PCA,Laplace,1.0,ARI,10,-0.001506389181552619,DAE:PCA
Amphibians,DAE,PCA,Laplace,1.0,MI,10,-0.00106553974229596,DAE:PCA
Amphibians,DAE,PCA,Laplace,1.0,Fowlkes Mallows,10,0.7466756618427286,DAE:PCA
Amphibians,DAE,PCA,Laplace,1.0,V Measure,10,0.009030280835485979,DAE:PCA
Amphibians,DAE,PCA,Laplace,1.5,ARI,2,-0.0008030482791979914,DAE:PCA
Amphibians,DAE,PCA,Laplace,1.5,MI,2,-0.000571845629355439,DAE:PCA
Amphibians,DAE,PCA,Laplace,1.5,Fowlkes Mallows,2,0.7299551817020254,DAE:PCA
Amphibians,DAE,PCA,Laplace,1.5,V Measure,2,0.009542126186149968,DAE:PCA
Amphibians,DAE,PCA,Laplace,2.0,ARI,10,-3.19921305078447e-05,DAE:PCA
Amphibians,DAE,PCA,Laplace,2.0,MI,10,-2.9787429300828994e-05,DAE:PCA
Amphibians,DAE,PCA,Laplace,2.0,Fowlkes Mallows,10,0.7440075891729135,DAE:PCA
Amphibians,DAE,PCA,Laplace,2.0,V Measure,10,0.010049556413140487,DAE:PCA
Amphibians,DAE,PCA,Normal,0.0,ARI,10,-0.0028142839466935837,DAE:PCA
Amphibians,DAE,PCA,Normal,0.0,MI,10,-0.001970014722791522,DAE:PCA
Amphibians,DAE,PCA,Normal,0.0,Fowlkes Mallows,10,0.7088059075915603,DAE:PCA
Amphibians,DAE,PCA,Normal,0.0,V Measure,10,0.008182345729746325,DAE:PCA
Amphibians,DAE,PCA,Normal,0.5,ARI,10,-0.0014088431002221864,DAE:PCA
Amphibians,DAE,PCA,Normal,0.5,MI,10,-0.000994823178675391,DAE:PCA
Amphibians,DAE,PCA,Normal,0.5,Fowlkes Mallows,10,0.7222709120238977,DAE:PCA
Amphibians,DAE,PCA,Normal,0.5,V Measure,10,0.009132952334085209,DAE:PCA
Amphibians,DAE,PCA,Normal,1.0,ARI,10,-0.0024633825786810736,DAE:PCA
Amphibians,DAE,PCA,Normal,1.0,MI,10,-0.0017431768636764961,DAE:PCA
Amphibians,DAE,PCA,Normal,1.0,Fowlkes Mallows,10,0.7306816395953143,DAE:PCA
Amphibians,DAE,PCA,Normal,1.0,V Measure,10,0.008377900604212977,DAE:PCA
Amphibians,DAE,PCA,Normal,1.5,ARI,2,-0.0017562204778356946,DAE:PCA
Amphibians,DAE,PCA,Normal,1.5,MI,2,-0.001236551835598951,DAE:PCA
Amphibians,DAE,PCA,Normal,1.5,Fowlkes Mallows,2,0.7285003213839307,DAE:PCA
Amphibians,DAE,PCA,Normal,1.5,V Measure,2,0.008887485328908548,DAE:PCA
Amphibians,DAE,PCA,Normal,2.0,ARI,10,-0.0006199693662287642,DAE:PCA
Amphibians,DAE,PCA,Normal,2.0,MI,10,-0.0004433554938968209,DAE:PCA
Amphibians,DAE,PCA,Normal,2.0,Fowlkes Mallows,10,0.7370875787404774,DAE:PCA
Amphibians,DAE,PCA,Normal,2.0,V Measure,10,0.009658857267317592,DAE:PCA
Amphibians,DAE,Random Projection,Laplace,0.0,ARI,10,-0.002428219316137443,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,0.0,MI,10,-0.0017434414249959467,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,0.0,Fowlkes Mallows,10,0.7576201358107503,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,0.0,V Measure,10,0.00828546266489094,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,0.5,ARI,10,-0.001277709011024364,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,0.5,MI,10,-0.0009101102509769303,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,0.5,Fowlkes Mallows,10,0.7363485440819503,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,0.5,V Measure,10,0.009200024875897637,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,1.0,ARI,10,0.00020191169481558212,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,1.0,MI,10,0.00013755028305346845,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,1.0,Fowlkes Mallows,10,0.7344016705112747,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,1.0,V Measure,10,0.010235637376848015,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,1.5,ARI,10,0.00020521919781462457,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,1.5,MI,10,0.00014525806038007168,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,1.5,Fowlkes Mallows,10,0.7440589333437216,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,1.5,V Measure,10,0.01023164746315853,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,2.0,ARI,10,0.0025247043424755926,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,2.0,MI,10,0.0017752887730499724,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,2.0,Fowlkes Mallows,10,0.746639055257868,DAE:Random Projection
Amphibians,DAE,Random Projection,Laplace,2.0,V Measure,10,0.011846404160409853,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,0.0,ARI,10,-0.00365463099442008,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,0.0,MI,10,-0.002639720860997744,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,0.0,Fowlkes Mallows,10,0.7557512085270265,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,0.0,V Measure,10,0.007312524103349507,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,0.5,ARI,10,-0.002693215152204277,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,0.5,MI,10,-0.0019232835207481818,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,0.5,Fowlkes Mallows,10,0.7495783573686831,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,0.5,V Measure,10,0.00814821496917121,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,1.0,ARI,10,-0.0006246549913387558,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,1.0,MI,10,-0.0004489773960076624,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,1.0,Fowlkes Mallows,10,0.732298084830862,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,1.0,V Measure,10,0.009659548537946414,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,1.5,ARI,10,0.0021663205881183064,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,1.5,MI,10,0.0015286701065414094,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,1.5,Fowlkes Mallows,10,0.7383649166332379,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,1.5,V Measure,10,0.01161094565764134,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,2.0,ARI,10,-0.0008012790455576369,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,2.0,MI,10,-0.0005766681703980334,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,2.0,Fowlkes Mallows,10,0.7343976480555139,DAE:Random Projection
Amphibians,DAE,Random Projection,Normal,2.0,V Measure,10,0.009528539069914223,DAE:Random Projection
Amphibians,DAE,Spectral (NN),Laplace,0.0,ARI,10,-0.009174378939833307,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,0.0,MI,10,-0.006747868414553103,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,0.0,Fowlkes Mallows,10,0.9131089320641724,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,0.0,V Measure,10,0.002905922937795878,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,0.5,ARI,10,-0.007627123492403577,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,0.5,MI,10,-0.005589715974687842,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,0.5,Fowlkes Mallows,10,0.8705646474563231,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,0.5,V Measure,10,0.004145558944400851,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,1.0,ARI,10,0.00039612511552602906,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,1.0,MI,10,0.00035693088516265984,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,1.0,Fowlkes Mallows,10,0.831243654770442,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,1.0,V Measure,10,0.010131089957838634,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,1.5,ARI,10,0.0014649838003187212,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,1.5,MI,10,0.0010384572414826895,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,1.5,Fowlkes Mallows,10,0.8133468667619944,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,1.5,V Measure,10,0.010930198278334356,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,2.0,ARI,10,-0.0028863504007906123,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,2.0,MI,10,-0.002138864417716651,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,2.0,Fowlkes Mallows,10,0.8211368410840508,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Laplace,2.0,V Measure,10,0.00773000014412987,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,0.0,ARI,10,-0.009174378939833307,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,0.0,MI,10,-0.006747868414553103,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,0.0,Fowlkes Mallows,10,0.9131089320641724,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,0.0,V Measure,10,0.002905922937795878,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,0.5,ARI,10,-0.006849387133103576,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,0.5,MI,10,-0.004999119396155762,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,0.5,Fowlkes Mallows,10,0.8872714485626431,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,0.5,V Measure,10,0.004747448368887999,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,1.0,ARI,10,-0.006273355684281113,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,1.0,MI,10,-0.004577678408366044,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,1.0,Fowlkes Mallows,10,0.8393530217948535,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,1.0,V Measure,10,0.005228357428510546,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,1.5,ARI,10,-0.0031443475439009577,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,1.5,MI,10,-0.0023193932129930146,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,1.5,Fowlkes Mallows,10,0.8094934129562839,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,1.5,V Measure,10,0.007580258073494053,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,2.0,ARI,10,0.0036220787007294904,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,2.0,MI,10,0.002635694002522321,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,2.0,Fowlkes Mallows,10,0.8002708347385726,DAE:Spectral (NN)
Amphibians,DAE,Spectral (NN),Normal,2.0,V Measure,10,0.012550983561605175,DAE:Spectral (NN)
Amphibians,DAE,Spectral (RBF),Laplace,0.0,ARI,10,-0.007066327992207955,DAE:Spectral (RBF)
