data,method1,method2,noise,sigma,clustering,criteria,rank,value
TCGA,DAE,DAE,Normal,0.0,HC,MI,5,1.0
TCGA,DAE,DAE,Normal,0.0,HC,MI,10,1.0
TCGA,DAE,DAE,Normal,0.0,HC,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Normal,0.0,HC,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Normal,0.0,HC,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Normal,0.0,HC,V Measure,2,1.0
TCGA,DAE,DAE,Normal,0.0,HC,V Measure,5,1.0
TCGA,DAE,DAE,Normal,0.0,HC,V Measure,10,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,ARI,2,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,ARI,5,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,ARI,10,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,MI,2,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,MI,5,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,MI,10,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,V Measure,2,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,V Measure,5,1.0
TCGA,DAE,DAE,Normal,0.5,K-Means,V Measure,10,1.0
TCGA,DAE,DAE,Normal,0.5,HC,ARI,2,1.0
TCGA,DAE,DAE,Normal,0.5,HC,ARI,5,1.0
TCGA,DAE,DAE,Normal,0.5,HC,ARI,10,1.0
TCGA,DAE,DAE,Normal,0.5,HC,MI,2,1.0
TCGA,DAE,DAE,Normal,0.5,HC,MI,5,1.0
TCGA,DAE,DAE,Normal,0.5,HC,MI,10,1.0
TCGA,DAE,DAE,Normal,0.5,HC,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Normal,0.5,HC,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Normal,0.5,HC,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Normal,0.5,HC,V Measure,2,1.0
TCGA,DAE,DAE,Normal,0.5,HC,V Measure,5,1.0
TCGA,DAE,DAE,Normal,0.5,HC,V Measure,10,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,ARI,2,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,ARI,5,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,ARI,10,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,MI,2,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,MI,5,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,MI,10,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,V Measure,2,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,V Measure,5,1.0
TCGA,DAE,DAE,Normal,1.0,K-Means,V Measure,10,1.0
TCGA,DAE,DAE,Normal,1.0,HC,ARI,2,1.0
TCGA,DAE,DAE,Normal,1.0,HC,ARI,5,1.0
TCGA,DAE,DAE,Normal,1.0,HC,ARI,10,1.0
TCGA,DAE,DAE,Normal,1.0,HC,MI,2,1.0
TCGA,DAE,DAE,Normal,1.0,HC,MI,5,1.0
TCGA,DAE,DAE,Normal,1.0,HC,MI,10,1.0
TCGA,DAE,DAE,Normal,1.0,HC,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Normal,1.0,HC,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Normal,1.0,HC,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Normal,1.0,HC,V Measure,2,1.0
TCGA,DAE,DAE,Normal,1.0,HC,V Measure,5,1.0
TCGA,DAE,DAE,Normal,1.0,HC,V Measure,10,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,ARI,2,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,ARI,5,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,ARI,10,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,MI,2,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,MI,5,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,MI,10,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,V Measure,2,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,V Measure,5,1.0
TCGA,DAE,DAE,Normal,2.0,K-Means,V Measure,10,1.0
TCGA,DAE,DAE,Normal,2.0,HC,ARI,2,1.0
TCGA,DAE,DAE,Normal,2.0,HC,ARI,5,1.0
TCGA,DAE,DAE,Normal,2.0,HC,ARI,10,1.0
TCGA,DAE,DAE,Normal,2.0,HC,MI,2,1.0
TCGA,DAE,DAE,Normal,2.0,HC,MI,5,1.0
TCGA,DAE,DAE,Normal,2.0,HC,MI,10,1.0
TCGA,DAE,DAE,Normal,2.0,HC,Fowlkes Mallows,2,1.0
TCGA,DAE,DAE,Normal,2.0,HC,Fowlkes Mallows,5,1.0
TCGA,DAE,DAE,Normal,2.0,HC,Fowlkes Mallows,10,1.0
TCGA,DAE,DAE,Normal,2.0,HC,V Measure,2,1.0
TCGA,DAE,DAE,Normal,2.0,HC,V Measure,5,1.0
TCGA,DAE,DAE,Normal,2.0,HC,V Measure,10,1.0
TCGA,DAE,Isomap,Laplace,0.5,K-Means,ARI,2,0.014320301301955768
TCGA,DAE,Isomap,Laplace,0.5,K-Means,ARI,5,0.005900579428273611
TCGA,DAE,Isomap,Laplace,0.5,K-Means,ARI,10,0.002506408854968118
TCGA,DAE,Isomap,Laplace,0.5,K-Means,MI,2,0.009212733570924524
TCGA,DAE,Isomap,Laplace,0.5,K-Means,MI,5,0.0012112525325500994
TCGA,DAE,Isomap,Laplace,0.5,K-Means,MI,10,0.0031238000421773666
TCGA,DAE,Isomap,Laplace,0.5,K-Means,Fowlkes Mallows,2,0.2442169829021479
TCGA,DAE,Isomap,Laplace,0.5,K-Means,Fowlkes Mallows,5,0.2391642228658441
TCGA,DAE,Isomap,Laplace,0.5,K-Means,Fowlkes Mallows,10,0.20833784391218266
TCGA,DAE,Isomap,Laplace,0.5,K-Means,V Measure,2,0.021139446101500727
TCGA,DAE,Isomap,Laplace,0.5,K-Means,V Measure,5,0.013192009145533505
TCGA,DAE,Isomap,Laplace,0.5,K-Means,V Measure,10,0.014570736933265625
TCGA,DAE,Isomap,Laplace,0.5,HC,ARI,2,0.0037968222349463133
TCGA,DAE,Isomap,Laplace,0.5,HC,ARI,5,0.0049062314410310325
TCGA,DAE,Isomap,Laplace,0.5,HC,ARI,10,0.0070109478737645494
TCGA,DAE,Isomap,Laplace,0.5,HC,MI,2,0.003208587287980888
TCGA,DAE,Isomap,Laplace,0.5,HC,MI,5,0.006609098876072935
TCGA,DAE,Isomap,Laplace,0.5,HC,MI,10,-0.00014136440982555213
TCGA,DAE,Isomap,Laplace,0.5,HC,Fowlkes Mallows,2,0.24024080573450354
TCGA,DAE,Isomap,Laplace,0.5,HC,Fowlkes Mallows,5,0.2475696483761648
TCGA,DAE,Isomap,Laplace,0.5,HC,Fowlkes Mallows,10,0.2421203206487185
TCGA,DAE,Isomap,Laplace,0.5,HC,V Measure,2,0.015340158241038756
TCGA,DAE,Isomap,Laplace,0.5,HC,V Measure,5,0.018823135890001837
TCGA,DAE,Isomap,Laplace,0.5,HC,V Measure,10,0.01193597282037108
TCGA,DAE,Isomap,Laplace,1.0,K-Means,ARI,2,0.11071110545954713
TCGA,DAE,Isomap,Laplace,1.0,K-Means,ARI,5,0.17205635723207194
TCGA,DAE,Isomap,Laplace,1.0,K-Means,ARI,10,0.14335105707601672
TCGA,DAE,Isomap,Laplace,1.0,K-Means,MI,2,0.1923076807242465
TCGA,DAE,Isomap,Laplace,1.0,K-Means,MI,5,0.2260837781139799
TCGA,DAE,Isomap,Laplace,1.0,K-Means,MI,10,0.2124814184930179
TCGA,DAE,Isomap,Laplace,1.0,K-Means,Fowlkes Mallows,2,0.3095194210585094
TCGA,DAE,Isomap,Laplace,1.0,K-Means,Fowlkes Mallows,5,0.3717607941870727
TCGA,DAE,Isomap,Laplace,1.0,K-Means,Fowlkes Mallows,10,0.3338796444851722
TCGA,DAE,Isomap,Laplace,1.0,K-Means,V Measure,2,0.20198127773914135
TCGA,DAE,Isomap,Laplace,1.0,K-Means,V Measure,5,0.23563187444305575
TCGA,DAE,Isomap,Laplace,1.0,K-Means,V Measure,10,0.22178666179998607
TCGA,DAE,Isomap,Laplace,1.0,HC,ARI,2,0.13420164962015618
TCGA,DAE,Isomap,Laplace,1.0,HC,ARI,5,0.12415156844945067
TCGA,DAE,Isomap,Laplace,1.0,HC,ARI,10,0.06394130182285687
TCGA,DAE,Isomap,Laplace,1.0,HC,MI,2,0.19096543975420704
TCGA,DAE,Isomap,Laplace,1.0,HC,MI,5,0.17302340058907725
TCGA,DAE,Isomap,Laplace,1.0,HC,MI,10,0.16636579141521576
TCGA,DAE,Isomap,Laplace,1.0,HC,Fowlkes Mallows,2,0.3364037695767678
TCGA,DAE,Isomap,Laplace,1.0,HC,Fowlkes Mallows,5,0.33988792739260826
TCGA,DAE,Isomap,Laplace,1.0,HC,Fowlkes Mallows,10,0.2997548591619917
TCGA,DAE,Isomap,Laplace,1.0,HC,V Measure,2,0.2007400944815456
TCGA,DAE,Isomap,Laplace,1.0,HC,V Measure,5,0.18330226759964
TCGA,DAE,Isomap,Laplace,1.0,HC,V Measure,10,0.17672034245678495
TCGA,DAE,Isomap,Laplace,2.0,K-Means,ARI,2,-0.0016344442432436536
TCGA,DAE,Isomap,Laplace,2.0,K-Means,ARI,5,0.015996613667409003
TCGA,DAE,Isomap,Laplace,2.0,K-Means,ARI,10,0.027887380911945567
TCGA,DAE,Isomap,Laplace,2.0,K-Means,MI,2,-0.00556947206681794
TCGA,DAE,Isomap,Laplace,2.0,K-Means,MI,5,0.017056122376432375
TCGA,DAE,Isomap,Laplace,2.0,K-Means,MI,10,0.02816235609642557
TCGA,DAE,Isomap,Laplace,2.0,K-Means,Fowlkes Mallows,2,0.2410982506734566
TCGA,DAE,Isomap,Laplace,2.0,K-Means,Fowlkes Mallows,5,0.2902254103944261
TCGA,DAE,Isomap,Laplace,2.0,K-Means,Fowlkes Mallows,10,0.2595524030985332
TCGA,DAE,Isomap,Laplace,2.0,K-Means,V Measure,2,0.006715284075390239
TCGA,DAE,Isomap,Laplace,2.0,K-Means,V Measure,5,0.029755163238199538
TCGA,DAE,Isomap,Laplace,2.0,K-Means,V Measure,10,0.04003140429593046
TCGA,DAE,Isomap,Laplace,2.0,HC,ARI,2,-0.0008696193883316367
TCGA,DAE,Isomap,Laplace,2.0,HC,ARI,5,0.01785739963464163
TCGA,DAE,Isomap,Laplace,2.0,HC,ARI,10,0.010789971153421448
TCGA,DAE,Isomap,Laplace,2.0,HC,MI,2,-0.002895294746020281
TCGA,DAE,Isomap,Laplace,2.0,HC,MI,5,0.012051294465072328
TCGA,DAE,Isomap,Laplace,2.0,HC,MI,10,0.015949512507747208
TCGA,DAE,Isomap,Laplace,2.0,HC,Fowlkes Mallows,2,0.23949455566298625
TCGA,DAE,Isomap,Laplace,2.0,HC,Fowlkes Mallows,5,0.28843325721605445
TCGA,DAE,Isomap,Laplace,2.0,HC,Fowlkes Mallows,10,0.23401942492989114
TCGA,DAE,Isomap,Laplace,2.0,HC,V Measure,2,0.0094990599504818
TCGA,DAE,Isomap,Laplace,2.0,HC,V Measure,5,0.024788014440345615
TCGA,DAE,Isomap,Laplace,2.0,HC,V Measure,10,0.02767854397088112
TCGA,DAE,Isomap,Normal,0.0,K-Means,ARI,2,0.1929572275985716
TCGA,DAE,Isomap,Normal,0.0,K-Means,ARI,5,0.28859732047568004
TCGA,DAE,Isomap,Normal,0.0,K-Means,ARI,10,0.2123261790389608
TCGA,DAE,Isomap,Normal,0.0,K-Means,MI,2,0.357005112842601
TCGA,DAE,Isomap,Normal,0.0,K-Means,MI,5,0.40051653027416745
TCGA,DAE,Isomap,Normal,0.0,K-Means,MI,10,0.33690239407156536
TCGA,DAE,Isomap,Normal,0.0,K-Means,Fowlkes Mallows,2,0.3821317684892271
TCGA,DAE,Isomap,Normal,0.0,K-Means,Fowlkes Mallows,5,0.4568958388797544
TCGA,DAE,Isomap,Normal,0.0,K-Means,Fowlkes Mallows,10,0.4124057607903041
TCGA,DAE,Isomap,Normal,0.0,K-Means,V Measure,2,0.3647590360809968
TCGA,DAE,Isomap,Normal,0.0,K-Means,V Measure,5,0.4078909257538113
TCGA,DAE,Isomap,Normal,0.0,K-Means,V Measure,10,0.3452047166032627
TCGA,DAE,Isomap,Normal,0.0,HC,ARI,2,0.13642023302659415
TCGA,DAE,Isomap,Normal,0.0,HC,ARI,5,0.3070077717082492
TCGA,DAE,Isomap,Normal,0.0,HC,ARI,10,0.27512043917384194
TCGA,DAE,Isomap,Normal,0.0,HC,MI,2,0.3096282380533328
TCGA,DAE,Isomap,Normal,0.0,HC,MI,5,0.4258439643413702
TCGA,DAE,Isomap,Normal,0.0,HC,MI,10,0.33957772411191794
TCGA,DAE,Isomap,Normal,0.0,HC,Fowlkes Mallows,2,0.3586701982439738
TCGA,DAE,Isomap,Normal,0.0,HC,Fowlkes Mallows,5,0.4726697892275577
TCGA,DAE,Isomap,Normal,0.0,HC,Fowlkes Mallows,10,0.4580619955168898
TCGA,DAE,Isomap,Normal,0.0,HC,V Measure,2,0.31834629694451305
TCGA,DAE,Isomap,Normal,0.0,HC,V Measure,5,0.4328614240928367
TCGA,DAE,Isomap,Normal,0.0,HC,V Measure,10,0.3478722801366371
TCGA,DAE,Isomap,Normal,0.5,K-Means,ARI,2,0.0017505353635654578
TCGA,DAE,Isomap,Normal,0.5,K-Means,ARI,5,0.0014780719581485595
TCGA,DAE,Isomap,Normal,0.5,K-Means,ARI,10,-0.005800694587318161
TCGA,DAE,Isomap,Normal,0.5,K-Means,MI,2,0.0035619391016033205
TCGA,DAE,Isomap,Normal,0.5,K-Means,MI,5,-0.0008632807876488589
TCGA,DAE,Isomap,Normal,0.5,K-Means,MI,10,-0.0017510366871176279
TCGA,DAE,Isomap,Normal,0.5,K-Means,Fowlkes Mallows,2,0.2094220815159837
TCGA,DAE,Isomap,Normal,0.5,K-Means,Fowlkes Mallows,5,0.2268237404287707
TCGA,DAE,Isomap,Normal,0.5,K-Means,Fowlkes Mallows,10,0.21033066907375456
TCGA,DAE,Isomap,Normal,0.5,K-Means,V Measure,2,0.015039434391530097
TCGA,DAE,Isomap,Normal,0.5,K-Means,V Measure,5,0.01102758232746164
TCGA,DAE,Isomap,Normal,0.5,K-Means,V Measure,10,0.009930831240435029
TCGA,DAE,Isomap,Normal,0.5,HC,ARI,2,-0.0018356855347007762
TCGA,DAE,Isomap,Normal,0.5,HC,ARI,5,-0.0028887138121154172
TCGA,DAE,Isomap,Normal,0.5,HC,ARI,10,0.004579982426331791
TCGA,DAE,Isomap,Normal,0.5,HC,MI,2,-0.003272506305183789
TCGA,DAE,Isomap,Normal,0.5,HC,MI,5,-0.00791501256479268
TCGA,DAE,Isomap,Normal,0.5,HC,MI,10,0.009610250345077582
TCGA,DAE,Isomap,Normal,0.5,HC,Fowlkes Mallows,2,0.2259655239929532
TCGA,DAE,Isomap,Normal,0.5,HC,Fowlkes Mallows,5,0.22236511481176224
TCGA,DAE,Isomap,Normal,0.5,HC,Fowlkes Mallows,10,0.2369006636118708
TCGA,DAE,Isomap,Normal,0.5,HC,V Measure,2,0.008667688107384436
TCGA,DAE,Isomap,Normal,0.5,HC,V Measure,5,0.0040913649096412045
TCGA,DAE,Isomap,Normal,0.5,HC,V Measure,10,0.021635766984598896
TCGA,DAE,Isomap,Normal,1.0,K-Means,ARI,2,0.1909918989718816
TCGA,DAE,Isomap,Normal,1.0,K-Means,ARI,5,0.17810332621219185
TCGA,DAE,Isomap,Normal,1.0,K-Means,ARI,10,0.1853339760890784
TCGA,DAE,Isomap,Normal,1.0,K-Means,MI,2,0.274693790051716
TCGA,DAE,Isomap,Normal,1.0,K-Means,MI,5,0.26940933650972143
TCGA,DAE,Isomap,Normal,1.0,K-Means,MI,10,0.3021779557568148
TCGA,DAE,Isomap,Normal,1.0,K-Means,Fowlkes Mallows,2,0.3802154626451025
TCGA,DAE,Isomap,Normal,1.0,K-Means,Fowlkes Mallows,5,0.37452471375256813
TCGA,DAE,Isomap,Normal,1.0,K-Means,Fowlkes Mallows,10,0.4054102560854421
TCGA,DAE,Isomap,Normal,1.0,K-Means,V Measure,2,0.2834770614611872
TCGA,DAE,Isomap,Normal,1.0,K-Means,V Measure,5,0.27836953272587284
TCGA,DAE,Isomap,Normal,1.0,K-Means,V Measure,10,0.3112561883189233
TCGA,DAE,Isomap,Normal,1.0,HC,ARI,2,0.15041060294094472
TCGA,DAE,Isomap,Normal,1.0,HC,ARI,5,0.22435966651259734
TCGA,DAE,Isomap,Normal,1.0,HC,ARI,10,0.2627300165043817
TCGA,DAE,Isomap,Normal,1.0,HC,MI,2,0.2472199407079566
TCGA,DAE,Isomap,Normal,1.0,HC,MI,5,0.2927242067036375
TCGA,DAE,Isomap,Normal,1.0,HC,MI,10,0.3373705805897679
TCGA,DAE,Isomap,Normal,1.0,HC,Fowlkes Mallows,2,0.3398970424862123
TCGA,DAE,Isomap,Normal,1.0,HC,Fowlkes Mallows,5,0.41783474674761295
TCGA,DAE,Isomap,Normal,1.0,HC,Fowlkes Mallows,10,0.4711410779839783
TCGA,DAE,Isomap,Normal,1.0,HC,V Measure,2,0.256201615217476
TCGA,DAE,Isomap,Normal,1.0,HC,V Measure,5,0.3016221579032365
TCGA,DAE,Isomap,Normal,1.0,HC,V Measure,10,0.34619012224371065
TCGA,DAE,Isomap,Normal,2.0,K-Means,ARI,2,0.032146854129173376
TCGA,DAE,Isomap,Normal,2.0,K-Means,ARI,5,0.032174506636115166
TCGA,DAE,Isomap,Normal,2.0,K-Means,ARI,10,0.06015399580722479
TCGA,DAE,Isomap,Normal,2.0,K-Means,MI,2,0.06183619275328363
TCGA,DAE,Isomap,Normal,2.0,K-Means,MI,5,0.04741205466580907
TCGA,DAE,Isomap,Normal,2.0,K-Means,MI,10,0.1146576196024552
TCGA,DAE,Isomap,Normal,2.0,K-Means,Fowlkes Mallows,2,0.25887873064348543
TCGA,DAE,Isomap,Normal,2.0,K-Means,Fowlkes Mallows,5,0.26184627422175216
TCGA,DAE,Isomap,Normal,2.0,K-Means,Fowlkes Mallows,10,0.2807921838193402
TCGA,DAE,Isomap,Normal,2.0,K-Means,V Measure,2,0.07314697065517109
TCGA,DAE,Isomap,Normal,2.0,K-Means,V Measure,5,0.058986896601852426
TCGA,DAE,Isomap,Normal,2.0,K-Means,V Measure,10,0.12540081584559928
